Rxn name	Formula	Gene-reaction association	LB	UB	Objective
r_0001	s_0025[c] + 2 s_0709[m]  -> 2 s_0710[m] + s_1399[c] 	(A0A0L8RL29_SACEU and A0A0L8RK84_SACEU) or (A0A0L8RL29_SACEU and YJR048W) or (A0A0L8RK84_SACEU and YEL071W) or (YEL071W and YJR048W)	  0.00	   Inf	  0.00
r_0002	s_0027[m] + 2 s_0709[m]  -> 2 s_0710[m] + s_1401[m] 	(A0A0L8RL46_SACEU and A0A0L8RK84_SACEU) or (A0A0L8RL46_SACEU and YJR048W)	  0.00	   Inf	  0.00
r_0003	s_0035[c] + s_1198[c]  -> s_0020[c] + s_0794[c] + s_1203[c] 	YAL060W	  0.00	   Inf	  0.00
r_0004	s_0063[c] + 2 s_0709[m]  -> 2 s_0710[m] + s_1399[c] 	(A0A0L8RK84_SACEU and A0A0L8RCW8_SACEU) or (YJR048W and A0A0L8RCW8_SACEU)	  0.00	   Inf	  0.00
r_0006	s_1543[c]  -> s_0004[ce] + s_0794[c] + s_1538[c] 	A0A0L8RJY7_SACEU or YPR159W	  0.00	   Inf	  0.00
r_0012	s_0119[m] + 2 s_0807[m] + s_1200[m]  -> s_0799[m] + s_0993[m] + s_1205[m] 	A0A0L8RIU4_SACEU	  0.00	   Inf	  0.00
r_0014	s_0142[c] + s_0794[c] + s_0803[c]  -> s_0313[c] + s_0419[c] 	A0A0L8RHU1_SACEU	  0.00	   Inf	  0.00
r_0015	s_0141[c] + s_0794[c] + s_1212[c]  -> s_0142[c] + s_1207[c] 	A0A0L8RLX3_SACEU	  0.00	   Inf	  0.00
r_0017	s_0148[m] + s_0437[m]  -> s_0006[m] + s_0424[m] + s_0799[m] 	A0A0L8RBU3_SACEU	  0.00	   Inf	  0.00
r_0018	s_0176[c] + s_0991[c]  -> s_0180[c] + s_0953[c] 	A0A0L8RLT0_SACEU or A0A0L8RIQ0_SACEU or A0A0L8RGJ0_SACEU	  0.00	   Inf	  0.00
r_0019	s_0149[c] + s_0794[c] + s_1212[c]  -> s_0030[c] + s_1207[c] 	A0A0L8RIW8_SACEU	  0.00	   Inf	  0.00
r_0024	s_0232[c] + s_0373[c] + s_0803[c]  -> s_0162[c] + s_0529[c] + s_0794[c] 	A0A0L8RC84_SACEU or YOR108W	  0.00	   Inf	  0.00
r_0025	s_0233[m] + s_0376[m] + s_0807[m]  -> s_0164[m] + s_0532[m] + s_0799[m] 	A0A0L8RC84_SACEU	  0.00	   Inf	  0.00
r_0028	s_0807[m] + s_1273[m] + s_1382[m]  -> s_0174[m] + s_0532[m] + s_0799[m] 	A0A0L8RAV3_SACEU	  0.00	   Inf	  0.00
r_0029	s_0010[c] + s_0794[c]  -> s_0291[c] + s_0456[c] 	YJR148W	  0.00	   Inf	  0.00
r_0039	s_0210[c]  -> s_0211[c] + s_0803[c] 	A0A0L8RNF2_SACEU	  0.00	   Inf	  0.00
r_0040	s_0349[c]  -> s_0210[c] + s_1322[c] 	A0A0L8RNF2_SACEU	  0.00	   Inf	  0.00
r_0041	s_0231[er] + 2 s_0795[er] + s_1213[er]  -> s_1208[er] + s_1445[er] 	A0A0L8RN39_SACEU	  0.00	   Inf	  0.00
r_0057	s_0054[p] + s_1202[p]  -> s_0257[p] + s_0801[p] + s_1206[p] 	A0A0L8RG22_SACEU	  0.00	   Inf	  0.00
r_0059	s_0009[c] + s_1416[c]  -> s_0217[c] + s_1413[c] 	A0A0L8RIL0_SACEU	  0.00	   Inf	  0.00
r_0062	s_0232[c] + s_0794[c]  -> s_0456[c] + s_0937[c] 	YGR087C or YLR044C or YLR134W	  0.00	   Inf	  0.00
r_0064	s_0056[c] + s_0794[c]  -> s_0166[c] + s_0456[c] 	A0A0L8RLH3_SACEU or YGR087C or YLR044C or YLR134W	  0.00	   Inf	  0.00
r_0065	s_0261[c] + s_1360[c]  -> s_0324[c] + s_1322[c] 	A0A0L8RNF2_SACEU	  0.00	   Inf	  0.00
r_0066	s_0515[c] + s_0999[c]  -> s_0269[c] + s_0991[c] 	A0A0L8RCM5_SACEU	  0.00	   Inf	  0.00
r_0067	s_0269[c]  -> s_0271[c] + s_0794[c] + s_1399[c] 	A0A0L8RDV8_SACEU	  0.00	   Inf	  0.00
r_0068	s_0180[c] + s_0734[c]  -> s_0991[c] + s_1461[c] 	A0A0L8RK27_SACEU	  0.00	   Inf	  0.00
r_0069	s_0264[c] + s_0803[c]  -> s_0285[c] + s_1322[c] 	A0A0L8RMP3_SACEU	  0.00	   Inf	  0.00
r_0070	s_0290[m] + s_0807[m]  -> s_0287[m] + s_0532[m] + s_0799[m] 		  0.00	   Inf	  0.00
r_0072	s_0291[c] + s_0794[c]  -> s_0234[c] + s_0456[c] 	A0A0L8RLH3_SACEU	  0.00	   Inf	  0.00
