"rxnID"	"source"	"panID_RAVEN_kegg"	"panID_RAVEN_biocyc"	"panID_inter"	"panID_union"
"MNXR95786"	"RAVEN_kegg;RAVEN_biocyc"	"Candida_sorboxylosa@Seq_1305"	"Candida_sorboxylosa@Seq_1305"	"Candida_sorboxylosa@Seq_1305"	"Candida_sorboxylosa@Seq_1305"
"MNXR106335"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_3570 or Candida_sorboxylosa@Seq_1044"	NA	""	"Candida_sorboxylosa@Seq_3570;Candida_sorboxylosa@Seq_1044"
"MNXR96455"	"RAVEN_kegg;RAVEN_biocyc"	"Candida_sorboxylosa@Seq_2492"	"Candida_sorboxylosa@Seq_2492"	"Candida_sorboxylosa@Seq_2492"	"Candida_sorboxylosa@Seq_2492"
"MNXR95163"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_2893"	NA	""	"Candida_sorboxylosa@Seq_2893"
"MNXR102428"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_3057 or Candida_sorboxylosa@Seq_3539 or Candida_sorboxylosa@Seq_890 or Candida_sorboxylosa@Seq_3570 or Candida_sorboxylosa@Seq_1044"	NA	""	"Candida_sorboxylosa@Seq_3057;Candida_sorboxylosa@Seq_3539;Candida_sorboxylosa@Seq_890;Candida_sorboxylosa@Seq_3570;Candida_sorboxylosa@Seq_1044"
"MNXR100245"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_4402"	NA	""	"Candida_sorboxylosa@Seq_4402"
"MNXR95628"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_2822 or Candida_sorboxylosa@Seq_2140"	NA	""	"Candida_sorboxylosa@Seq_2822;Candida_sorboxylosa@Seq_2140"
"MNXR101350"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_3193"	NA	""	"Candida_sorboxylosa@Seq_3193"
"MNXR103095"	"RAVEN_kegg;RAVEN_biocyc"	"Candida_sorboxylosa@Seq_1954"	"Candida_sorboxylosa@Seq_1954"	"Candida_sorboxylosa@Seq_1954"	"Candida_sorboxylosa@Seq_1954"
"MNXR103430"	"RAVEN_kegg;RAVEN_biocyc"	"Candida_sorboxylosa@Seq_3333"	"Candida_sorboxylosa@Seq_3333"	"Candida_sorboxylosa@Seq_3333"	"Candida_sorboxylosa@Seq_3333"
"MNXR96043"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_118 or Candida_sorboxylosa@Seq_3783 or Candida_sorboxylosa@Seq_1844"	NA	""	"Candida_sorboxylosa@Seq_118;Candida_sorboxylosa@Seq_3783;Candida_sorboxylosa@Seq_1844"
"MNXR100658"	"RAVEN_kegg;RAVEN_biocyc"	"Candida_sorboxylosa@Seq_412"	"Candida_sorboxylosa@Seq_412"	"Candida_sorboxylosa@Seq_412"	"Candida_sorboxylosa@Seq_412"
"MNXR96131"	"RAVEN_kegg;RAVEN_biocyc"	"Candida_sorboxylosa@Seq_1739 or Candida_sorboxylosa@Seq_4172 or Candida_sorboxylosa@Seq_2602 or Candida_sorboxylosa@Seq_2511"	"Candida_sorboxylosa@Seq_84 or Candida_sorboxylosa@Seq_1752"	""	"Candida_sorboxylosa@Seq_1739;Candida_sorboxylosa@Seq_4172;Candida_sorboxylosa@Seq_2602;Candida_sorboxylosa@Seq_2511;Candida_sorboxylosa@Seq_84;Candida_sorboxylosa@Seq_1752"
"MNXR102054"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_107"	NA	""	"Candida_sorboxylosa@Seq_107"
"MNXR95444"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_3235"	NA	""	"Candida_sorboxylosa@Seq_3235"
"MNXR100289"	"RAVEN_kegg;RAVEN_biocyc"	"Candida_sorboxylosa@Seq_4402"	"Candida_sorboxylosa@Seq_877 or Candida_sorboxylosa@Seq_4402"	"Candida_sorboxylosa@Seq_4402"	"Candida_sorboxylosa@Seq_4402;Candida_sorboxylosa@Seq_877"
"MNXR100097"	"RAVEN_kegg"	"Candida_sorboxylosa@Seq_1559"	NA	""	"Candida_sorboxylosa@Seq_1559"
