"rxnID"	"source"	"panID_RAVEN_kegg"	"panID_RAVEN_biocyc"	"panID_inter"	"panID_union"
"MNXR95786"	"RAVEN_kegg;RAVEN_biocyc"	"Candida_succiphila@Seq_1351"	"Candida_succiphila@Seq_1351"	"Candida_succiphila@Seq_1351"	"Candida_succiphila@Seq_1351"
"MNXR106335"	"RAVEN_kegg"	"Candida_succiphila@Seq_1466 or Candida_succiphila@Seq_3969"	NA	""	"Candida_succiphila@Seq_1466;Candida_succiphila@Seq_3969"
"MNXR96455"	"RAVEN_kegg;RAVEN_biocyc"	"Candida_succiphila@Seq_2914"	"Candida_succiphila@Seq_2914"	"Candida_succiphila@Seq_2914"	"Candida_succiphila@Seq_2914"
"MNXR95163"	"RAVEN_kegg"	"Candida_succiphila@Seq_1373"	NA	""	"Candida_succiphila@Seq_1373"
"MNXR102428"	"RAVEN_kegg"	"Candida_succiphila@Seq_1994 or Candida_succiphila@Seq_4626 or Candida_succiphila@Seq_447 or Candida_succiphila@Seq_3340 or Candida_succiphila@Seq_1466 or Candida_succiphila@Seq_3969"	NA	""	"Candida_succiphila@Seq_1994;Candida_succiphila@Seq_4626;Candida_succiphila@Seq_447;Candida_succiphila@Seq_3340;Candida_succiphila@Seq_1466;Candida_succiphila@Seq_3969"
"MNXR100245"	"RAVEN_kegg"	"Candida_succiphila@Seq_828"	NA	""	"Candida_succiphila@Seq_828"
"MNXR95628"	"RAVEN_kegg"	"Candida_succiphila@Seq_4798"	NA	""	"Candida_succiphila@Seq_4798"
"MNXR106343"	"RAVEN_kegg"	"Candida_succiphila@Seq_4553 or Candida_succiphila@Seq_4512 or Candida_succiphila@Seq_4287"	NA	""	"Candida_succiphila@Seq_4553;Candida_succiphila@Seq_4512;Candida_succiphila@Seq_4287"
"MNXR101350"	"RAVEN_kegg"	"Candida_succiphila@Seq_2210"	NA	""	"Candida_succiphila@Seq_2210"
"MNXR103095"	"RAVEN_kegg;RAVEN_biocyc"	"Candida_succiphila@Seq_5251"	"Candida_succiphila@Seq_5251"	"Candida_succiphila@Seq_5251"	"Candida_succiphila@Seq_5251"
"MNXR103430"	"RAVEN_kegg;RAVEN_biocyc"	"Candida_succiphila@Seq_2841"	"Candida_succiphila@Seq_2841"	"Candida_succiphila@Seq_2841"	"Candida_succiphila@Seq_2841"
"MNXR96043"	"RAVEN_kegg"	"Candida_succiphila@Seq_4453 or Candida_succiphila@Seq_3207"	NA	""	"Candida_succiphila@Seq_4453;Candida_succiphila@Seq_3207"
"MNXR100658"	"RAVEN_kegg;RAVEN_biocyc"	"Candida_succiphila@Seq_5120"	"Candida_succiphila@Seq_5120"	"Candida_succiphila@Seq_5120"	"Candida_succiphila@Seq_5120"
"MNXR96131"	"RAVEN_kegg;RAVEN_biocyc"	"Candida_succiphila@Seq_4808 or Candida_succiphila@Seq_980 or Candida_succiphila@Seq_3862 or Candida_succiphila@Seq_1229 or Candida_succiphila@Seq_3504 or Candida_succiphila@Seq_4231"	"Candida_succiphila@Seq_362 or Candida_succiphila@Seq_3495"	""	"Candida_succiphila@Seq_4808;Candida_succiphila@Seq_980;Candida_succiphila@Seq_3862;Candida_succiphila@Seq_1229;Candida_succiphila@Seq_3504;Candida_succiphila@Seq_4231;Candida_succiphila@Seq_362;Candida_succiphila@Seq_3495"
"MNXR102054"	"RAVEN_kegg"	"Candida_succiphila@Seq_3373"	NA	""	"Candida_succiphila@Seq_3373"
"MNXR95444"	"RAVEN_kegg"	"Candida_succiphila@Seq_3265"	NA	""	"Candida_succiphila@Seq_3265"
"MNXR100289"	"RAVEN_kegg;RAVEN_biocyc"	"Candida_succiphila@Seq_828"	"Candida_succiphila@Seq_828"	"Candida_succiphila@Seq_828"	"Candida_succiphila@Seq_828"
"MNXR100097"	"RAVEN_kegg"	"Candida_succiphila@Seq_127"	NA	""	"Candida_succiphila@Seq_127"
"MNXR106388"	"RAVEN_kegg;RAVEN_biocyc"	"Candida_succiphila@Seq_2284 or Candida_succiphila@Seq_4175 or Candida_succiphila@Seq_1659"	"Candida_succiphila@Seq_1659 or Candida_succiphila@Seq_2284 or Candida_succiphila@Seq_4175"	"Candida_succiphila@Seq_2284;Candida_succiphila@Seq_4175;Candida_succiphila@Seq_1659"	"Candida_succiphila@Seq_2284;Candida_succiphila@Seq_4175;Candida_succiphila@Seq_1659"
"MNXR101888"	"RAVEN_kegg"	"Candida_succiphila@Seq_183 or Candida_succiphila@Seq_1694 or Candida_succiphila@Seq_1703 or Candida_succiphila@Seq_4998"	NA	""	"Candida_succiphila@Seq_183;Candida_succiphila@Seq_1694;Candida_succiphila@Seq_1703;Candida_succiphila@Seq_4998"
"MNXR101861"	"RAVEN_kegg"	"Candida_succiphila@Seq_3373 or Candida_succiphila@Seq_3310"	NA	""	"Candida_succiphila@Seq_3373;Candida_succiphila@Seq_3310"
"MNXR101882"	"RAVEN_kegg;RAVEN_biocyc"	"Candida_succiphila@Seq_4327 or Candida_succiphila@Seq_3873"	"Candida_succiphila@Seq_3873 or Candida_succiphila@Seq_4327"	"Candida_succiphila@Seq_4327;Candida_succiphila@Seq_3873"	"Candida_succiphila@Seq_4327;Candida_succiphila@Seq_3873"
"MNXR106392"	"RAVEN_kegg"	"Candida_succiphila@Seq_1358"	NA	""	"Candida_succiphila@Seq_1358"
