"rxnID"	"source"	"panID_RAVEN_kegg"	"panID_RAVEN_biocyc"	"panID_inter"	"panID_union"
"MNXR95786"	"RAVEN_kegg;RAVEN_biocyc"	"Dekkera_bruxellensis@Seq_2183 or Dekkera_bruxellensis@Seq_4047"	"Dekkera_bruxellensis@Seq_2183"	"Dekkera_bruxellensis@Seq_2183"	"Dekkera_bruxellensis@Seq_2183;Dekkera_bruxellensis@Seq_4047"
"MNXR106335"	"RAVEN_kegg"	"Dekkera_bruxellensis@Seq_2029 or Dekkera_bruxellensis@Seq_2049"	NA	""	"Dekkera_bruxellensis@Seq_2029;Dekkera_bruxellensis@Seq_2049"
"MNXR96455"	"RAVEN_kegg;RAVEN_biocyc"	"Dekkera_bruxellensis@Seq_4548"	"Dekkera_bruxellensis@Seq_4548"	"Dekkera_bruxellensis@Seq_4548"	"Dekkera_bruxellensis@Seq_4548"
"MNXR95163"	"RAVEN_kegg"	"Dekkera_bruxellensis@Seq_2384"	NA	""	"Dekkera_bruxellensis@Seq_2384"
"MNXR102428"	"RAVEN_kegg"	"Dekkera_bruxellensis@Seq_661 or Dekkera_bruxellensis@Seq_2254 or Dekkera_bruxellensis@Seq_4472 or Dekkera_bruxellensis@Seq_2029 or Dekkera_bruxellensis@Seq_2049"	NA	""	"Dekkera_bruxellensis@Seq_661;Dekkera_bruxellensis@Seq_2254;Dekkera_bruxellensis@Seq_4472;Dekkera_bruxellensis@Seq_2029;Dekkera_bruxellensis@Seq_2049"
"MNXR100245"	"RAVEN_kegg"	"Dekkera_bruxellensis@Seq_1561"	NA	""	"Dekkera_bruxellensis@Seq_1561"
"MNXR95628"	"RAVEN_kegg"	"Dekkera_bruxellensis@Seq_1332"	NA	""	"Dekkera_bruxellensis@Seq_1332"
"MNXR106343"	"RAVEN_kegg"	"Dekkera_bruxellensis@Seq_4978 or Dekkera_bruxellensis@Seq_5023"	NA	""	"Dekkera_bruxellensis@Seq_4978;Dekkera_bruxellensis@Seq_5023"
"MNXR101350"	"RAVEN_kegg"	"Dekkera_bruxellensis@Seq_3560"	NA	""	"Dekkera_bruxellensis@Seq_3560"
"MNXR103095"	"RAVEN_kegg;RAVEN_biocyc"	"Dekkera_bruxellensis@Seq_409"	"Dekkera_bruxellensis@Seq_409"	"Dekkera_bruxellensis@Seq_409"	"Dekkera_bruxellensis@Seq_409"
"MNXR103430"	"RAVEN_kegg;RAVEN_biocyc"	"Dekkera_bruxellensis@Seq_1024"	"Dekkera_bruxellensis@Seq_1024"	"Dekkera_bruxellensis@Seq_1024"	"Dekkera_bruxellensis@Seq_1024"
"MNXR96043"	"RAVEN_kegg"	"Dekkera_bruxellensis@Seq_2760 or Dekkera_bruxellensis@Seq_1116 or Dekkera_bruxellensis@Seq_2232"	NA	""	"Dekkera_bruxellensis@Seq_2760;Dekkera_bruxellensis@Seq_1116;Dekkera_bruxellensis@Seq_2232"
"MNXR100658"	"RAVEN_kegg;RAVEN_biocyc"	"Dekkera_bruxellensis@Seq_3711"	"Dekkera_bruxellensis@Seq_3711"	"Dekkera_bruxellensis@Seq_3711"	"Dekkera_bruxellensis@Seq_3711"
"MNXR96131"	"RAVEN_kegg;RAVEN_biocyc"	"Dekkera_bruxellensis@Seq_2568 or Dekkera_bruxellensis@Seq_376 or Dekkera_bruxellensis@Seq_2802 or Dekkera_bruxellensis@Seq_4889 or Dekkera_bruxellensis@Seq_5569"	"Dekkera_bruxellensis@Seq_2888"	""	"Dekkera_bruxellensis@Seq_2568;Dekkera_bruxellensis@Seq_376;Dekkera_bruxellensis@Seq_2802;Dekkera_bruxellensis@Seq_4889;Dekkera_bruxellensis@Seq_5569;Dekkera_bruxellensis@Seq_2888"
"MNXR102054"	"RAVEN_kegg"	"Dekkera_bruxellensis@Seq_974"	NA	""	"Dekkera_bruxellensis@Seq_974"
"MNXR95444"	"RAVEN_kegg"	"Dekkera_bruxellensis@Seq_4561"	NA	""	"Dekkera_bruxellensis@Seq_4561"
"MNXR100289"	"RAVEN_kegg;RAVEN_biocyc"	"Dekkera_bruxellensis@Seq_1561"	"Dekkera_bruxellensis@Seq_1561"	"Dekkera_bruxellensis@Seq_1561"	"Dekkera_bruxellensis@Seq_1561"
"MNXR100097"	"RAVEN_kegg"	"Dekkera_bruxellensis@Seq_4051"	NA	""	"Dekkera_bruxellensis@Seq_4051"
"MNXR106388"	"RAVEN_kegg;RAVEN_biocyc"	"Dekkera_bruxellensis@Seq_1081 or Dekkera_bruxellensis@Seq_2395 or Dekkera_bruxellensis@Seq_216"	"Dekkera_bruxellensis@Seq_216 or Dekkera_bruxellensis@Seq_1081 or Dekkera_bruxellensis@Seq_2395"	"Dekkera_bruxellensis@Seq_1081;Dekkera_bruxellensis@Seq_2395;Dekkera_bruxellensis@Seq_216"	"Dekkera_bruxellensis@Seq_1081;Dekkera_bruxellensis@Seq_2395;Dekkera_bruxellensis@Seq_216"
"MNXR101888"	"RAVEN_kegg"	"Dekkera_bruxellensis@Seq_4378 or Dekkera_bruxellensis@Seq_5363 or Dekkera_bruxellensis@Seq_2763 or Dekkera_bruxellensis@Seq_1383"	NA	""	"Dekkera_bruxellensis@Seq_4378;Dekkera_bruxellensis@Seq_5363;Dekkera_bruxellensis@Seq_2763;Dekkera_bruxellensis@Seq_1383"
"MNXR101861"	"RAVEN_kegg"	"Dekkera_bruxellensis@Seq_974 or Dekkera_bruxellensis@Seq_4966"	NA	""	"Dekkera_bruxellensis@Seq_974;Dekkera_bruxellensis@Seq_4966"
"MNXR101882"	"RAVEN_kegg;RAVEN_biocyc"	"Dekkera_bruxellensis@Seq_1705 or Dekkera_bruxellensis@Seq_3269"	"Dekkera_bruxellensis@Seq_1705 or Dekkera_bruxellensis@Seq_3269"	"Dekkera_bruxellensis@Seq_1705;Dekkera_bruxellensis@Seq_3269"	"Dekkera_bruxellensis@Seq_1705;Dekkera_bruxellensis@Seq_3269"
"MNXR106392"	"RAVEN_kegg"	"Dekkera_bruxellensis@Seq_721 or Dekkera_bruxellensis@Seq_4352"	NA	""	"Dekkera_bruxellensis@Seq_721;Dekkera_bruxellensis@Seq_4352"
"MNXR106395"	"RAVEN_kegg"	"Dekkera_bruxellensis@Seq_721 or Dekkera_bruxellensis@Seq_4352"	NA	""	"Dekkera_bruxellensis@Seq_721;Dekkera_bruxellensis@Seq_4352"
"MNXR100291"	"RAVEN_kegg"	"Dekkera_bruxellensis@Seq_1561"	NA	""	"Dekkera_bruxellensis@Seq_1561"
"MNXR100098"	"RAVEN_kegg;RAVEN_biocyc"	"Dekkera_bruxellensis@Seq_4051"	"Dekkera_bruxellensis@Seq_4051"	"Dekkera_bruxellensis@Seq_4051"	"Dekkera_bruxellensis@Seq_4051"
"MNXR96129"	"RAVEN_kegg;RAVEN_biocyc"	"Dekkera_bruxellensis@Seq_376 or Dekkera_bruxellensis@Seq_2802 or Dekkera_bruxellensis@Seq_4889"	"Dekkera_bruxellensis@Seq_376"	"Dekkera_bruxellensis@Seq_376"	"Dekkera_bruxellensis@Seq_376;Dekkera_bruxellensis@Seq_2802;Dekkera_bruxellensis@Seq_4889"
"MNXR95856"	"RAVEN_kegg"	"Dekkera_bruxellensis@Seq_874"	NA	""	"Dekkera_bruxellensis@Seq_874"
"MNXR95435"	"RAVEN_kegg"	"Dekkera_bruxellensis@Seq_3460"	NA	""	"Dekkera_bruxellensis@Seq_3460"
"MNXR95450"	"RAVEN_kegg;RAVEN_biocyc"	"Dekkera_bruxellensis@Seq_1737 or Dekkera_bruxellensis@Seq_145 or Dekkera_bruxellensis@Seq_2038"	"Dekkera_bruxellensis@Seq_806 or Dekkera_bruxellensis@Seq_1737"	"Dekkera_bruxellensis@Seq_1737"	"Dekkera_bruxellensis@Seq_1737;Dekkera_bruxellensis@Seq_145;Dekkera_bruxellensis@Seq_2038;Dekkera_bruxellensis@Seq_806"
"MNXR97762"	"RAVEN_kegg;RAVEN_biocyc"	"Dekkera_bruxellensis@Seq_3704"	"Dekkera_bruxellensis@Seq_3704"	"Dekkera_bruxellensis@Seq_3704"	"Dekkera_bruxellensis@Seq_3704"
