"rxnID"	"source"	"panID_RAVEN_kegg"	"panID_RAVEN_biocyc"	"panID_inter"	"panID_union"
"MNXR95786"	"RAVEN_kegg;RAVEN_biocyc"	"Lachancea_thermotolerans@Seq_4727"	"Lachancea_thermotolerans@Seq_4727"	"Lachancea_thermotolerans@Seq_4727"	"Lachancea_thermotolerans@Seq_4727"
"MNXR106335"	"RAVEN_kegg"	"Lachancea_thermotolerans@Seq_2721 or Lachancea_thermotolerans@Seq_2887"	NA	""	"Lachancea_thermotolerans@Seq_2721;Lachancea_thermotolerans@Seq_2887"
"MNXR96455"	"RAVEN_kegg;RAVEN_biocyc"	"Lachancea_thermotolerans@Seq_3908 or Lachancea_thermotolerans@Seq_3510"	"Lachancea_thermotolerans@Seq_3510"	"Lachancea_thermotolerans@Seq_3510"	"Lachancea_thermotolerans@Seq_3908;Lachancea_thermotolerans@Seq_3510"
"MNXR95163"	"RAVEN_kegg"	"Lachancea_thermotolerans@Seq_1989"	NA	""	"Lachancea_thermotolerans@Seq_1989"
"MNXR102428"	"RAVEN_kegg"	"Lachancea_thermotolerans@Seq_146 or Lachancea_thermotolerans@Seq_2199 or Lachancea_thermotolerans@Seq_331 or Lachancea_thermotolerans@Seq_1418 or Lachancea_thermotolerans@Seq_176 or Lachancea_thermotolerans@Seq_2613 or Lachancea_thermotolerans@Seq_2721 or Lachancea_thermotolerans@Seq_2887"	NA	""	"Lachancea_thermotolerans@Seq_146;Lachancea_thermotolerans@Seq_2199;Lachancea_thermotolerans@Seq_331;Lachancea_thermotolerans@Seq_1418;Lachancea_thermotolerans@Seq_176;Lachancea_thermotolerans@Seq_2613;Lachancea_thermotolerans@Seq_2721;Lachancea_thermotolerans@Seq_2887"
"MNXR100245"	"RAVEN_kegg"	"Lachancea_thermotolerans@Seq_4204"	NA	""	"Lachancea_thermotolerans@Seq_4204"
"MNXR106342"	"RAVEN_kegg"	"Lachancea_thermotolerans@Seq_3780"	NA	""	"Lachancea_thermotolerans@Seq_3780"
"MNXR101350"	"RAVEN_kegg"	"Lachancea_thermotolerans@Seq_1870"	NA	""	"Lachancea_thermotolerans@Seq_1870"
"MNXR103095"	"RAVEN_kegg;RAVEN_biocyc"	"Lachancea_thermotolerans@Seq_4792"	"Lachancea_thermotolerans@Seq_4792"	"Lachancea_thermotolerans@Seq_4792"	"Lachancea_thermotolerans@Seq_4792"
"MNXR103430"	"RAVEN_kegg;RAVEN_biocyc"	"Lachancea_thermotolerans@Seq_1724"	"Lachancea_thermotolerans@Seq_1724"	"Lachancea_thermotolerans@Seq_1724"	"Lachancea_thermotolerans@Seq_1724"
