"rxnID"	"source"	"panID_RAVEN_kegg"	"panID_RAVEN_biocyc"	"panID_inter"	"panID_union"
"MNXR106335"	"RAVEN_kegg"	"Neurospora_crassa@Seq_7064 or Neurospora_crassa@Seq_8974 or Neurospora_crassa@Seq_2496"	NA	""	"Neurospora_crassa@Seq_7064;Neurospora_crassa@Seq_8974;Neurospora_crassa@Seq_2496"
"MNXR96455"	"RAVEN_kegg;RAVEN_biocyc"	"Neurospora_crassa@Seq_10588 or Neurospora_crassa@Seq_3115 or Neurospora_crassa@Seq_3195"	"Neurospora_crassa@Seq_3115 or Neurospora_crassa@Seq_3195 or Neurospora_crassa@Seq_7243 or Neurospora_crassa@Seq_10588"	"Neurospora_crassa@Seq_10588;Neurospora_crassa@Seq_3115;Neurospora_crassa@Seq_3195"	"Neurospora_crassa@Seq_10588;Neurospora_crassa@Seq_3115;Neurospora_crassa@Seq_3195;Neurospora_crassa@Seq_7243"
"MNXR95163"	"RAVEN_kegg"	"Neurospora_crassa@Seq_4065 or Neurospora_crassa@Seq_1591"	NA	""	"Neurospora_crassa@Seq_4065;Neurospora_crassa@Seq_1591"
"MNXR102428"	"RAVEN_kegg"	"Neurospora_crassa@Seq_635 or Neurospora_crassa@Seq_4851 or Neurospora_crassa@Seq_6175 or Neurospora_crassa@Seq_1333 or Neurospora_crassa@Seq_4726 or Neurospora_crassa@Seq_7064 or Neurospora_crassa@Seq_8974 or Neurospora_crassa@Seq_2496"	NA	""	"Neurospora_crassa@Seq_635;Neurospora_crassa@Seq_4851;Neurospora_crassa@Seq_6175;Neurospora_crassa@Seq_1333;Neurospora_crassa@Seq_4726;Neurospora_crassa@Seq_7064;Neurospora_crassa@Seq_8974;Neurospora_crassa@Seq_2496"
"MNXR100245"	"RAVEN_kegg"	"Neurospora_crassa@Seq_1274 or Neurospora_crassa@Seq_2931"	NA	""	"Neurospora_crassa@Seq_1274;Neurospora_crassa@Seq_2931"
"MNXR95628"	"RAVEN_kegg"	"Neurospora_crassa@Seq_4747 or Neurospora_crassa@Seq_1597 or Neurospora_crassa@Seq_867"	NA	""	"Neurospora_crassa@Seq_4747;Neurospora_crassa@Seq_1597;Neurospora_crassa@Seq_867"
"MNXR106342"	"RAVEN_kegg"	"Neurospora_crassa@Seq_6759"	NA	""	"Neurospora_crassa@Seq_6759"
"MNXR106343"	"RAVEN_kegg"	"Neurospora_crassa@Seq_1242 or Neurospora_crassa@Seq_1607 or Neurospora_crassa@Seq_6819 or Neurospora_crassa@Seq_3150 or Neurospora_crassa@Seq_4918 or Neurospora_crassa@Seq_8728 or Neurospora_crassa@Seq_216 or Neurospora_crassa@Seq_2307 or Neurospora_crassa@Seq_6167 or Neurospora_crassa@Seq_2581 or Neurospora_crassa@Seq_10001"	NA	""	"Neurospora_crassa@Seq_1242;Neurospora_crassa@Seq_1607;Neurospora_crassa@Seq_6819;Neurospora_crassa@Seq_3150;Neurospora_crassa@Seq_4918;Neurospora_crassa@Seq_8728;Neurospora_crassa@Seq_216;Neurospora_crassa@Seq_2307;Neurospora_crassa@Seq_6167;Neurospora_crassa@Seq_2581;Neurospora_crassa@Seq_10001"
"MNXR101350"	"RAVEN_kegg"	"Neurospora_crassa@Seq_10411 or Neurospora_crassa@Seq_3339 or Neurospora_crassa@Seq_9532 or Neurospora_crassa@Seq_2872 or Neurospora_crassa@Seq_2262"	NA	""	"Neurospora_crassa@Seq_10411;Neurospora_crassa@Seq_3339;Neurospora_crassa@Seq_9532;Neurospora_crassa@Seq_2872;Neurospora_crassa@Seq_2262"
"MNXR103095"	"RAVEN_kegg;RAVEN_biocyc"	"Neurospora_crassa@Seq_9617"	"Neurospora_crassa@Seq_9617"	"Neurospora_crassa@Seq_9617"	"Neurospora_crassa@Seq_9617"
"MNXR103430"	"RAVEN_kegg;RAVEN_biocyc"	"Neurospora_crassa@Seq_6165"	"Neurospora_crassa@Seq_6165"	"Neurospora_crassa@Seq_6165"	"Neurospora_crassa@Seq_6165"
"MNXR96043"	"RAVEN_kegg"	"Neurospora_crassa@Seq_626 or Neurospora_crassa@Seq_2147 or Neurospora_crassa@Seq_3085 or Neurospora_crassa@Seq_5657 or Neurospora_crassa@Seq_8097 or Neurospora_crassa@Seq_9191 or Neurospora_crassa@Seq_8887 or Neurospora_crassa@Seq_250 or Neurospora_crassa@Seq_1941 or Neurospora_crassa@Seq_3096"	NA	""	"Neurospora_crassa@Seq_626;Neurospora_crassa@Seq_2147;Neurospora_crassa@Seq_3085;Neurospora_crassa@Seq_5657;Neurospora_crassa@Seq_8097;Neurospora_crassa@Seq_9191;Neurospora_crassa@Seq_8887;Neurospora_crassa@Seq_250;Neurospora_crassa@Seq_1941;Neurospora_crassa@Seq_3096"
"MNXR100658"	"RAVEN_kegg;RAVEN_biocyc"	"Neurospora_crassa@Seq_6754 or Neurospora_crassa@Seq_7614"	"Neurospora_crassa@Seq_6754 or Neurospora_crassa@Seq_7614"	"Neurospora_crassa@Seq_6754;Neurospora_crassa@Seq_7614"	"Neurospora_crassa@Seq_6754;Neurospora_crassa@Seq_7614"
"MNXR96131"	"RAVEN_kegg;RAVEN_biocyc"	"Neurospora_crassa@Seq_5477 or Neurospora_crassa@Seq_8629 or Neurospora_crassa@Seq_6153 or Neurospora_crassa@Seq_2370 or Neurospora_crassa@Seq_8712"	"Neurospora_crassa@Seq_2149"	""	"Neurospora_crassa@Seq_5477;Neurospora_crassa@Seq_8629;Neurospora_crassa@Seq_6153;Neurospora_crassa@Seq_2370;Neurospora_crassa@Seq_8712;Neurospora_crassa@Seq_2149"
"MNXR102054"	"RAVEN_kegg"	"Neurospora_crassa@Seq_6269"	NA	""	"Neurospora_crassa@Seq_6269"
"MNXR95444"	"RAVEN_kegg"	"Neurospora_crassa@Seq_8784 or Neurospora_crassa@Seq_13"	NA	""	"Neurospora_crassa@Seq_8784;Neurospora_crassa@Seq_13"
"MNXR100289"	"RAVEN_kegg;RAVEN_biocyc"	"Neurospora_crassa@Seq_1274 or Neurospora_crassa@Seq_2931"	"Neurospora_crassa@Seq_1274 or Neurospora_crassa@Seq_2931"	"Neurospora_crassa@Seq_1274;Neurospora_crassa@Seq_2931"	"Neurospora_crassa@Seq_1274;Neurospora_crassa@Seq_2931"
"MNXR100097"	"RAVEN_kegg"	"Neurospora_crassa@Seq_3741 or Neurospora_crassa@Seq_5566"	NA	""	"Neurospora_crassa@Seq_3741;Neurospora_crassa@Seq_5566"
"MNXR106385"	"RAVEN_kegg"	"Neurospora_crassa@Seq_829"	NA	""	"Neurospora_crassa@Seq_829"
"MNXR106388"	"RAVEN_kegg;RAVEN_biocyc"	"Neurospora_crassa@Seq_7486 or Neurospora_crassa@Seq_9682 or Neurospora_crassa@Seq_3641 or Neurospora_crassa@Seq_173"	"Neurospora_crassa@Seq_3641 or Neurospora_crassa@Seq_7486 or Neurospora_crassa@Seq_9682"	"Neurospora_crassa@Seq_7486;Neurospora_crassa@Seq_9682;Neurospora_crassa@Seq_3641"	"Neurospora_crassa@Seq_7486;Neurospora_crassa@Seq_9682;Neurospora_crassa@Seq_3641;Neurospora_crassa@Seq_173"
"MNXR101888"	"RAVEN_kegg"	"Neurospora_crassa@Seq_513 or Neurospora_crassa@Seq_8994 or Neurospora_crassa@Seq_2777 or Neurospora_crassa@Seq_5402"	NA	""	"Neurospora_crassa@Seq_513;Neurospora_crassa@Seq_8994;Neurospora_crassa@Seq_2777;Neurospora_crassa@Seq_5402"
"MNXR101861"	"RAVEN_kegg"	"Neurospora_crassa@Seq_6269 or Neurospora_crassa@Seq_9070"	NA	""	"Neurospora_crassa@Seq_6269;Neurospora_crassa@Seq_9070"
"MNXR101882"	"RAVEN_kegg;RAVEN_biocyc"	"Neurospora_crassa@Seq_4544 or Neurospora_crassa@Seq_2344 or Neurospora_crassa@Seq_6272"	"Neurospora_crassa@Seq_2344 or Neurospora_crassa@Seq_4544"	"Neurospora_crassa@Seq_4544;Neurospora_crassa@Seq_2344"	"Neurospora_crassa@Seq_4544;Neurospora_crassa@Seq_2344;Neurospora_crassa@Seq_6272"
"MNXR106392"	"RAVEN_kegg"	"Neurospora_crassa@Seq_3676 or Neurospora_crassa@Seq_7302"	NA	""	"Neurospora_crassa@Seq_3676;Neurospora_crassa@Seq_7302"
"MNXR106395"	"RAVEN_kegg"	"Neurospora_crassa@Seq_3676 or Neurospora_crassa@Seq_7302"	NA	""	"Neurospora_crassa@Seq_3676;Neurospora_crassa@Seq_7302"
"MNXR101898"	"RAVEN_kegg;RAVEN_biocyc"	"Neurospora_crassa@Seq_10432"	"Neurospora_crassa@Seq_10432"	"Neurospora_crassa@Seq_10432"	"Neurospora_crassa@Seq_10432"
"MNXR100291"	"RAVEN_kegg"	"Neurospora_crassa@Seq_1274 or Neurospora_crassa@Seq_2931"	NA	""	"Neurospora_crassa@Seq_1274;Neurospora_crassa@Seq_2931"
"MNXR100098"	"RAVEN_kegg;RAVEN_biocyc"	"Neurospora_crassa@Seq_3741 or Neurospora_crassa@Seq_5566"	"Neurospora_crassa@Seq_3741 or Neurospora_crassa@Seq_5566"	"Neurospora_crassa@Seq_3741;Neurospora_crassa@Seq_5566"	"Neurospora_crassa@Seq_3741;Neurospora_crassa@Seq_5566"
"MNXR96129"	"RAVEN_kegg;RAVEN_biocyc"	"Neurospora_crassa@Seq_5477 or Neurospora_crassa@Seq_8629"	"Neurospora_crassa@Seq_5477"	"Neurospora_crassa@Seq_5477"	"Neurospora_crassa@Seq_5477;Neurospora_crassa@Seq_8629"
"MNXR95435"	"RAVEN_kegg"	"Neurospora_crassa@Seq_4448"	NA	""	"Neurospora_crassa@Seq_4448"
"MNXR95450"	"RAVEN_kegg;RAVEN_biocyc"	"Neurospora_crassa@Seq_5064 or Neurospora_crassa@Seq_6025"	"Neurospora_crassa@Seq_5064"	"Neurospora_crassa@Seq_5064"	"Neurospora_crassa@Seq_5064;Neurospora_crassa@Seq_6025"
"MNXR97762"	"RAVEN_kegg"	"Neurospora_crassa@Seq_6954"	NA	""	"Neurospora_crassa@Seq_6954"
"MNXR105153"	"RAVEN_kegg;RAVEN_biocyc"	"Neurospora_crassa@Seq_2774 or Neurospora_crassa@Seq_1888"	"Neurospora_crassa@Seq_1888 or Neurospora_crassa@Seq_2774"	"Neurospora_crassa@Seq_2774;Neurospora_crassa@Seq_1888"	"Neurospora_crassa@Seq_2774;Neurospora_crassa@Seq_1888"
"MNXR100482"	"RAVEN_kegg;RAVEN_biocyc"	"Neurospora_crassa@Seq_3781 or Neurospora_crassa@Seq_4886;Neurospora_crassa@Seq_3781 or Neurospora_crassa@Seq_4886"	"Neurospora_crassa@Seq_3781 or Neurospora_crassa@Seq_4886"	"Neurospora_crassa@Seq_3781;Neurospora_crassa@Seq_4886"	"Neurospora_crassa@Seq_3781;Neurospora_crassa@Seq_4886;Neurospora_crassa@Seq_3781;Neurospora_crassa@Seq_4886"
"MNXR95841"	"RAVEN_kegg;RAVEN_biocyc"	"Neurospora_crassa@Seq_404 or Neurospora_crassa@Seq_5339"	"Neurospora_crassa@Seq_404"	"Neurospora_crassa@Seq_404"	"Neurospora_crassa@Seq_404;Neurospora_crassa@Seq_5339"
"MNXR106405"	"RAVEN_kegg"	"Neurospora_crassa@Seq_4655"	NA	""	"Neurospora_crassa@Seq_4655"
"MNXR96884"	"RAVEN_kegg"	"Neurospora_crassa@Seq_6400 or Neurospora_crassa@Seq_2867"	NA	""	"Neurospora_crassa@Seq_6400;Neurospora_crassa@Seq_2867"
"MNXR101931"	"RAVEN_kegg"	"Neurospora_crassa@Seq_5477 or Neurospora_crassa@Seq_8629"	NA	""	"Neurospora_crassa@Seq_5477;Neurospora_crassa@Seq_8629"
"MNXR101935"	"RAVEN_kegg;RAVEN_biocyc"	"Neurospora_crassa@Seq_4655"	"Neurospora_crassa@Seq_4655"	"Neurospora_crassa@Seq_4655"	"Neurospora_crassa@Seq_4655"
"MNXR106413"	"RAVEN_kegg"	"Neurospora_crassa@Seq_5064 or Neurospora_crassa@Seq_740"	NA	""	"Neurospora_crassa@Seq_5064;Neurospora_crassa@Seq_740"
"MNXR105118"	"RAVEN_kegg;RAVEN_biocyc"	"Neurospora_crassa@Seq_3865"	"Neurospora_crassa@Seq_3865"	"Neurospora_crassa@Seq_3865"	"Neurospora_crassa@Seq_3865"
"MNXR101933"	"RAVEN_kegg"	"Neurospora_crassa@Seq_5477 or Neurospora_crassa@Seq_8629"	NA	""	"Neurospora_crassa@Seq_5477;Neurospora_crassa@Seq_8629"
