"rxnID"	"source"	"panID_RAVEN_kegg"	"panID_RAVEN_biocyc"	"panID_inter"	"panID_union"
"MNXR95786"	"RAVEN_kegg;RAVEN_biocyc"	"Saccharomyces_uvarum@Seq_3026"	"Saccharomyces_uvarum@Seq_3026"	"Saccharomyces_uvarum@Seq_3026"	"Saccharomyces_uvarum@Seq_3026"
"MNXR106335"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_2773 or Saccharomyces_uvarum@Seq_2915"	NA	""	"Saccharomyces_uvarum@Seq_2773;Saccharomyces_uvarum@Seq_2915"
"MNXR96455"	"RAVEN_kegg;RAVEN_biocyc"	"Saccharomyces_uvarum@Seq_1735 or Saccharomyces_uvarum@Seq_1433"	"Saccharomyces_uvarum@Seq_1433 or Saccharomyces_uvarum@Seq_1735"	"Saccharomyces_uvarum@Seq_1735;Saccharomyces_uvarum@Seq_1433"	"Saccharomyces_uvarum@Seq_1735;Saccharomyces_uvarum@Seq_1433"
"MNXR95163"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_4529 or Saccharomyces_uvarum@Seq_999"	NA	""	"Saccharomyces_uvarum@Seq_4529;Saccharomyces_uvarum@Seq_999"
"MNXR102428"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_1660 or Saccharomyces_uvarum@Seq_2364 or Saccharomyces_uvarum@Seq_1670 or Saccharomyces_uvarum@Seq_3739 or Saccharomyces_uvarum@Seq_3394 or Saccharomyces_uvarum@Seq_3613 or Saccharomyces_uvarum@Seq_2773 or Saccharomyces_uvarum@Seq_2915"	NA	""	"Saccharomyces_uvarum@Seq_1660;Saccharomyces_uvarum@Seq_2364;Saccharomyces_uvarum@Seq_1670;Saccharomyces_uvarum@Seq_3739;Saccharomyces_uvarum@Seq_3394;Saccharomyces_uvarum@Seq_3613;Saccharomyces_uvarum@Seq_2773;Saccharomyces_uvarum@Seq_2915"
"MNXR100245"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_3732"	NA	""	"Saccharomyces_uvarum@Seq_3732"
"MNXR106342"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_445"	NA	""	"Saccharomyces_uvarum@Seq_445"
"MNXR101350"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_3208"	NA	""	"Saccharomyces_uvarum@Seq_3208"
"MNXR103095"	"RAVEN_kegg;RAVEN_biocyc"	"Saccharomyces_uvarum@Seq_302"	"Saccharomyces_uvarum@Seq_302"	"Saccharomyces_uvarum@Seq_302"	"Saccharomyces_uvarum@Seq_302"
"MNXR103430"	"RAVEN_kegg;RAVEN_biocyc"	"Saccharomyces_uvarum@Seq_886"	"Saccharomyces_uvarum@Seq_886"	"Saccharomyces_uvarum@Seq_886"	"Saccharomyces_uvarum@Seq_886"
"MNXR96043"	"RAVEN_kegg"	"Saccharomyces_uvarum@Seq_1855 or Saccharomyces_uvarum@Seq_3957 or Saccharomyces_uvarum@Seq_4601"	NA	""	"Saccharomyces_uvarum@Seq_1855;Saccharomyces_uvarum@Seq_3957;Saccharomyces_uvarum@Seq_4601"
"MNXR100658"	"RAVEN_kegg;RAVEN_biocyc"	"Saccharomyces_uvarum@Seq_4215"	"Saccharomyces_uvarum@Seq_4215"	"Saccharomyces_uvarum@Seq_4215"	"Saccharomyces_uvarum@Seq_4215"
