"rxnID"	"source"	"panID_RAVEN_kegg"	"panID_RAVEN_biocyc"	"panID_inter"	"panID_union"
"MNXR95786"	"RAVEN_kegg;RAVEN_biocyc"	"Saprochaete_clavata@Seq_2688"	"Saprochaete_clavata@Seq_2688"	"Saprochaete_clavata@Seq_2688"	"Saprochaete_clavata@Seq_2688"
"MNXR106335"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_3010 or Saprochaete_clavata@Seq_5028"	NA	""	"Saprochaete_clavata@Seq_3010;Saprochaete_clavata@Seq_5028"
"MNXR96455"	"RAVEN_kegg;RAVEN_biocyc"	"Saprochaete_clavata@Seq_452"	"Saprochaete_clavata@Seq_452"	"Saprochaete_clavata@Seq_452"	"Saprochaete_clavata@Seq_452"
"MNXR95163"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_1634"	NA	""	"Saprochaete_clavata@Seq_1634"
"MNXR102428"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_3897 or Saprochaete_clavata@Seq_5114 or Saprochaete_clavata@Seq_5933 or Saprochaete_clavata@Seq_3524 or Saprochaete_clavata@Seq_3010 or Saprochaete_clavata@Seq_5028"	NA	""	"Saprochaete_clavata@Seq_3897;Saprochaete_clavata@Seq_5114;Saprochaete_clavata@Seq_5933;Saprochaete_clavata@Seq_3524;Saprochaete_clavata@Seq_3010;Saprochaete_clavata@Seq_5028"
"MNXR100245"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_6200"	NA	""	"Saprochaete_clavata@Seq_6200"
"MNXR95628"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_3874"	NA	""	"Saprochaete_clavata@Seq_3874"
"MNXR106343"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_148 or Saprochaete_clavata@Seq_3581"	NA	""	"Saprochaete_clavata@Seq_148;Saprochaete_clavata@Seq_3581"
"MNXR101350"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_3264"	NA	""	"Saprochaete_clavata@Seq_3264"
"MNXR103095"	"RAVEN_kegg;RAVEN_biocyc"	"Saprochaete_clavata@Seq_246"	"Saprochaete_clavata@Seq_246"	"Saprochaete_clavata@Seq_246"	"Saprochaete_clavata@Seq_246"
"MNXR103430"	"RAVEN_kegg;RAVEN_biocyc"	"Saprochaete_clavata@Seq_6713"	"Saprochaete_clavata@Seq_6713"	"Saprochaete_clavata@Seq_6713"	"Saprochaete_clavata@Seq_6713"
"MNXR96043"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_407"	NA	""	"Saprochaete_clavata@Seq_407"
"MNXR100658"	"RAVEN_kegg;RAVEN_biocyc"	"Saprochaete_clavata@Seq_1153"	"Saprochaete_clavata@Seq_1153"	"Saprochaete_clavata@Seq_1153"	"Saprochaete_clavata@Seq_1153"
"MNXR96131"	"RAVEN_kegg;RAVEN_biocyc"	"Saprochaete_clavata@Seq_2860 or Saprochaete_clavata@Seq_1509 or Saprochaete_clavata@Seq_5701 or Saprochaete_clavata@Seq_3857 or Saprochaete_clavata@Seq_537 or Saprochaete_clavata@Seq_5266 or Saprochaete_clavata@Seq_4241 or Saprochaete_clavata@Seq_185"	"Saprochaete_clavata@Seq_6663"	""	"Saprochaete_clavata@Seq_2860;Saprochaete_clavata@Seq_1509;Saprochaete_clavata@Seq_5701;Saprochaete_clavata@Seq_3857;Saprochaete_clavata@Seq_537;Saprochaete_clavata@Seq_5266;Saprochaete_clavata@Seq_4241;Saprochaete_clavata@Seq_185;Saprochaete_clavata@Seq_6663"
"MNXR102054"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_1119"	NA	""	"Saprochaete_clavata@Seq_1119"
"MNXR95444"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_2306"	NA	""	"Saprochaete_clavata@Seq_2306"
"MNXR100289"	"RAVEN_kegg;RAVEN_biocyc"	"Saprochaete_clavata@Seq_6200"	"Saprochaete_clavata@Seq_6200"	"Saprochaete_clavata@Seq_6200"	"Saprochaete_clavata@Seq_6200"
"MNXR100097"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_4315"	NA	""	"Saprochaete_clavata@Seq_4315"
"MNXR106388"	"RAVEN_kegg;RAVEN_biocyc"	"Saprochaete_clavata@Seq_2812 or Saprochaete_clavata@Seq_3945"	"Saprochaete_clavata@Seq_2812 or Saprochaete_clavata@Seq_3945"	"Saprochaete_clavata@Seq_2812;Saprochaete_clavata@Seq_3945"	"Saprochaete_clavata@Seq_2812;Saprochaete_clavata@Seq_3945"
"MNXR101888"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_4622 or Saprochaete_clavata@Seq_2667 or Saprochaete_clavata@Seq_767 or Saprochaete_clavata@Seq_5347"	NA	""	"Saprochaete_clavata@Seq_4622;Saprochaete_clavata@Seq_2667;Saprochaete_clavata@Seq_767;Saprochaete_clavata@Seq_5347"
"MNXR101861"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_1119 or Saprochaete_clavata@Seq_1473"	NA	""	"Saprochaete_clavata@Seq_1119;Saprochaete_clavata@Seq_1473"
"MNXR101882"	"RAVEN_kegg;RAVEN_biocyc"	"Saprochaete_clavata@Seq_5872 or Saprochaete_clavata@Seq_972 or Saprochaete_clavata@Seq_5878"	"Saprochaete_clavata@Seq_972 or Saprochaete_clavata@Seq_5872"	"Saprochaete_clavata@Seq_5872;Saprochaete_clavata@Seq_972"	"Saprochaete_clavata@Seq_5872;Saprochaete_clavata@Seq_972;Saprochaete_clavata@Seq_5878"
"MNXR106392"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_2294 or Saprochaete_clavata@Seq_6441"	NA	""	"Saprochaete_clavata@Seq_2294;Saprochaete_clavata@Seq_6441"
"MNXR106395"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_2294 or Saprochaete_clavata@Seq_6441"	NA	""	"Saprochaete_clavata@Seq_2294;Saprochaete_clavata@Seq_6441"
"MNXR100291"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_6200"	NA	""	"Saprochaete_clavata@Seq_6200"
"MNXR100098"	"RAVEN_kegg;RAVEN_biocyc"	"Saprochaete_clavata@Seq_4315"	"Saprochaete_clavata@Seq_4315"	"Saprochaete_clavata@Seq_4315"	"Saprochaete_clavata@Seq_4315"
"MNXR96129"	"RAVEN_kegg;RAVEN_biocyc"	"Saprochaete_clavata@Seq_5701 or Saprochaete_clavata@Seq_3857 or Saprochaete_clavata@Seq_537 or Saprochaete_clavata@Seq_5266"	"Saprochaete_clavata@Seq_5701"	"Saprochaete_clavata@Seq_5701"	"Saprochaete_clavata@Seq_5701;Saprochaete_clavata@Seq_3857;Saprochaete_clavata@Seq_537;Saprochaete_clavata@Seq_5266"
"MNXR95856"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_318"	NA	""	"Saprochaete_clavata@Seq_318"
"MNXR95435"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_1568"	NA	""	"Saprochaete_clavata@Seq_1568"
"MNXR95450"	"RAVEN_kegg;RAVEN_biocyc"	"Saprochaete_clavata@Seq_2403 or Saprochaete_clavata@Seq_5600"	"Saprochaete_clavata@Seq_2403 or Saprochaete_clavata@Seq_4980"	"Saprochaete_clavata@Seq_2403"	"Saprochaete_clavata@Seq_2403;Saprochaete_clavata@Seq_5600;Saprochaete_clavata@Seq_4980"
"MNXR97762"	"RAVEN_kegg;RAVEN_biocyc"	"Saprochaete_clavata@Seq_866"	"Saprochaete_clavata@Seq_866"	"Saprochaete_clavata@Seq_866"	"Saprochaete_clavata@Seq_866"
"MNXR100482"	"RAVEN_kegg;RAVEN_biocyc"	"Saprochaete_clavata@Seq_1894;Saprochaete_clavata@Seq_1894"	"Saprochaete_clavata@Seq_1894"	""	"Saprochaete_clavata@Seq_1894;Saprochaete_clavata@Seq_1894;Saprochaete_clavata@Seq_1894"
"MNXR95841"	"RAVEN_kegg;RAVEN_biocyc"	"Saprochaete_clavata@Seq_680"	"Saprochaete_clavata@Seq_680"	"Saprochaete_clavata@Seq_680"	"Saprochaete_clavata@Seq_680"
"MNXR106405"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_3429"	NA	""	"Saprochaete_clavata@Seq_3429"
"MNXR96884"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_6312 or Saprochaete_clavata@Seq_4297"	NA	""	"Saprochaete_clavata@Seq_6312;Saprochaete_clavata@Seq_4297"
"MNXR101931"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_5701 or Saprochaete_clavata@Seq_3857 or Saprochaete_clavata@Seq_537 or Saprochaete_clavata@Seq_5266"	NA	""	"Saprochaete_clavata@Seq_5701;Saprochaete_clavata@Seq_3857;Saprochaete_clavata@Seq_537;Saprochaete_clavata@Seq_5266"
"MNXR101935"	"RAVEN_kegg;RAVEN_biocyc"	"Saprochaete_clavata@Seq_3429"	"Saprochaete_clavata@Seq_3429 or Saprochaete_clavata@Seq_4980"	"Saprochaete_clavata@Seq_3429"	"Saprochaete_clavata@Seq_3429;Saprochaete_clavata@Seq_4980"
"MNXR106413"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_2403 or Saprochaete_clavata@Seq_4980"	NA	""	"Saprochaete_clavata@Seq_2403;Saprochaete_clavata@Seq_4980"
"MNXR105118"	"RAVEN_kegg;RAVEN_biocyc"	"Saprochaete_clavata@Seq_5571 or Saprochaete_clavata@Seq_3055"	"Saprochaete_clavata@Seq_3055 or Saprochaete_clavata@Seq_5571"	"Saprochaete_clavata@Seq_5571;Saprochaete_clavata@Seq_3055"	"Saprochaete_clavata@Seq_5571;Saprochaete_clavata@Seq_3055"
"MNXR101933"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_5701 or Saprochaete_clavata@Seq_3857 or Saprochaete_clavata@Seq_537 or Saprochaete_clavata@Seq_5266"	NA	""	"Saprochaete_clavata@Seq_5701;Saprochaete_clavata@Seq_3857;Saprochaete_clavata@Seq_537;Saprochaete_clavata@Seq_5266"
"MNXR99209"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_1119"	NA	""	"Saprochaete_clavata@Seq_1119"
"MNXR95501"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_5451"	NA	""	"Saprochaete_clavata@Seq_5451"
"MNXR103361"	"RAVEN_kegg;RAVEN_biocyc"	"Saprochaete_clavata@Seq_446"	"Saprochaete_clavata@Seq_446"	"Saprochaete_clavata@Seq_446"	"Saprochaete_clavata@Seq_446"
"MNXR101407"	"RAVEN_kegg;RAVEN_biocyc"	"Saprochaete_clavata@Seq_1260"	"Saprochaete_clavata@Seq_1260"	"Saprochaete_clavata@Seq_1260"	"Saprochaete_clavata@Seq_1260"
"MNXR95455"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_735"	NA	""	"Saprochaete_clavata@Seq_735"
"MNXR95824"	"RAVEN_kegg;RAVEN_biocyc"	"Saprochaete_clavata@Seq_3288"	"Saprochaete_clavata@Seq_3288"	"Saprochaete_clavata@Seq_3288"	"Saprochaete_clavata@Seq_3288"
"MNXR102037"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_4505 or Saprochaete_clavata@Seq_6422 or Saprochaete_clavata@Seq_306"	NA	""	"Saprochaete_clavata@Seq_4505;Saprochaete_clavata@Seq_6422;Saprochaete_clavata@Seq_306"
"MNXR95456"	"RAVEN_kegg;RAVEN_biocyc"	"Saprochaete_clavata@Seq_3901"	"Saprochaete_clavata@Seq_3901"	"Saprochaete_clavata@Seq_3901"	"Saprochaete_clavata@Seq_3901"
"MNXR96340"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_2710"	NA	""	"Saprochaete_clavata@Seq_2710"
"MNXR96321"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_6660"	NA	""	"Saprochaete_clavata@Seq_6660"
"MNXR95482"	"RAVEN_kegg;RAVEN_biocyc"	"Saprochaete_clavata@Seq_5883"	"Saprochaete_clavata@Seq_5883"	"Saprochaete_clavata@Seq_5883"	"Saprochaete_clavata@Seq_5883"
"MNXR95886"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_1652"	NA	""	"Saprochaete_clavata@Seq_1652"
"MNXR95492"	"RAVEN_kegg;RAVEN_biocyc"	"Saprochaete_clavata@Seq_4849"	"Saprochaete_clavata@Seq_4849"	"Saprochaete_clavata@Seq_4849"	"Saprochaete_clavata@Seq_4849"
"MNXR106427"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_3031"	NA	""	"Saprochaete_clavata@Seq_3031"
"MNXR106428"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_69 or Saprochaete_clavata@Seq_4894 or Saprochaete_clavata@Seq_5841"	NA	""	"Saprochaete_clavata@Seq_69;Saprochaete_clavata@Seq_4894;Saprochaete_clavata@Seq_5841"
"MNXR103371"	"RAVEN_kegg;RAVEN_biocyc"	"Saprochaete_clavata@Seq_41"	"Saprochaete_clavata@Seq_41"	"Saprochaete_clavata@Seq_41"	"Saprochaete_clavata@Seq_41"
"MNXR102425"	"RAVEN_kegg;RAVEN_biocyc"	"Saprochaete_clavata@Seq_3897 or Saprochaete_clavata@Seq_5114 or Saprochaete_clavata@Seq_4931 or Saprochaete_clavata@Seq_2301 or Saprochaete_clavata@Seq_583"	"Saprochaete_clavata@Seq_583 or Saprochaete_clavata@Seq_5114"	"Saprochaete_clavata@Seq_5114;Saprochaete_clavata@Seq_583"	"Saprochaete_clavata@Seq_3897;Saprochaete_clavata@Seq_5114;Saprochaete_clavata@Seq_4931;Saprochaete_clavata@Seq_2301;Saprochaete_clavata@Seq_583"
"MNXR101446"	"RAVEN_kegg;RAVEN_biocyc"	"Saprochaete_clavata@Seq_5452"	"Saprochaete_clavata@Seq_5452"	"Saprochaete_clavata@Seq_5452"	"Saprochaete_clavata@Seq_5452"
"MNXR104339"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_6381 or Saprochaete_clavata@Seq_1513"	NA	""	"Saprochaete_clavata@Seq_6381;Saprochaete_clavata@Seq_1513"
"MNXR104338"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_5318"	NA	""	"Saprochaete_clavata@Seq_5318"
"MNXR95271"	"RAVEN_kegg;RAVEN_biocyc"	"Saprochaete_clavata@Seq_3010 or Saprochaete_clavata@Seq_5028"	"Saprochaete_clavata@Seq_3010"	"Saprochaete_clavata@Seq_3010"	"Saprochaete_clavata@Seq_3010;Saprochaete_clavata@Seq_5028"
"MNXR95363"	"RAVEN_kegg;RAVEN_biocyc"	"Saprochaete_clavata@Seq_2709"	"Saprochaete_clavata@Seq_2709"	"Saprochaete_clavata@Seq_2709"	"Saprochaete_clavata@Seq_2709"
"MNXR95413"	"RAVEN_kegg;RAVEN_biocyc"	"Saprochaete_clavata@Seq_1330 or Saprochaete_clavata@Seq_1479 or Saprochaete_clavata@Seq_1215"	"Saprochaete_clavata@Seq_1330 or Saprochaete_clavata@Seq_1479"	"Saprochaete_clavata@Seq_1330;Saprochaete_clavata@Seq_1479"	"Saprochaete_clavata@Seq_1330;Saprochaete_clavata@Seq_1479;Saprochaete_clavata@Seq_1215"
"MNXR105304"	"RAVEN_kegg"	"Saprochaete_clavata@Seq_1330 or Saprochaete_clavata@Seq_1479 or Saprochaete_clavata@Seq_1215"	NA	""	"Saprochaete_clavata@Seq_1330;Saprochaete_clavata@Seq_1479;Saprochaete_clavata@Seq_1215"
