"rxnID"	"source"	"panID_RAVEN_kegg"	"panID_RAVEN_biocyc"	"panID_inter"	"panID_union"
"MNXR106335"	"RAVEN_kegg"	"Tetrapisispora_blattae@Seq_1232 or Tetrapisispora_blattae@Seq_1382"	NA	""	"Tetrapisispora_blattae@Seq_1232;Tetrapisispora_blattae@Seq_1382"
"MNXR96455"	"RAVEN_kegg;RAVEN_biocyc"	"Tetrapisispora_blattae@Seq_2453"	"Tetrapisispora_blattae@Seq_2453"	"Tetrapisispora_blattae@Seq_2453"	"Tetrapisispora_blattae@Seq_2453"
"MNXR95163"	"RAVEN_kegg"	"Tetrapisispora_blattae@Seq_1975 or Tetrapisispora_blattae@Seq_5245"	NA	""	"Tetrapisispora_blattae@Seq_1975;Tetrapisispora_blattae@Seq_5245"
"MNXR102428"	"RAVEN_kegg"	"Tetrapisispora_blattae@Seq_146 or Tetrapisispora_blattae@Seq_3744 or Tetrapisispora_blattae@Seq_2661 or Tetrapisispora_blattae@Seq_3625 or Tetrapisispora_blattae@Seq_329 or Tetrapisispora_blattae@Seq_3745 or Tetrapisispora_blattae@Seq_4081 or Tetrapisispora_blattae@Seq_1232 or Tetrapisispora_blattae@Seq_1382"	NA	""	"Tetrapisispora_blattae@Seq_146;Tetrapisispora_blattae@Seq_3744;Tetrapisispora_blattae@Seq_2661;Tetrapisispora_blattae@Seq_3625;Tetrapisispora_blattae@Seq_329;Tetrapisispora_blattae@Seq_3745;Tetrapisispora_blattae@Seq_4081;Tetrapisispora_blattae@Seq_1232;Tetrapisispora_blattae@Seq_1382"
"MNXR100245"	"RAVEN_kegg"	"Tetrapisispora_blattae@Seq_4859"	NA	""	"Tetrapisispora_blattae@Seq_4859"
"MNXR101350"	"RAVEN_kegg"	"Tetrapisispora_blattae@Seq_342"	NA	""	"Tetrapisispora_blattae@Seq_342"
"MNXR103095"	"RAVEN_kegg;RAVEN_biocyc"	"Tetrapisispora_blattae@Seq_791"	"Tetrapisispora_blattae@Seq_791"	"Tetrapisispora_blattae@Seq_791"	"Tetrapisispora_blattae@Seq_791"
"MNXR103430"	"RAVEN_kegg;RAVEN_biocyc"	"Tetrapisispora_blattae@Seq_1334"	"Tetrapisispora_blattae@Seq_1334"	"Tetrapisispora_blattae@Seq_1334"	"Tetrapisispora_blattae@Seq_1334"
"MNXR96043"	"RAVEN_kegg"	"Tetrapisispora_blattae@Seq_1286"	NA	""	"Tetrapisispora_blattae@Seq_1286"
"MNXR96131"	"RAVEN_kegg;RAVEN_biocyc"	"Tetrapisispora_blattae@Seq_4067 or Tetrapisispora_blattae@Seq_2889 or Tetrapisispora_blattae@Seq_922 or Tetrapisispora_blattae@Seq_4366 or Tetrapisispora_blattae@Seq_2070 or Tetrapisispora_blattae@Seq_2750"	"Tetrapisispora_blattae@Seq_2791"	""	"Tetrapisispora_blattae@Seq_4067;Tetrapisispora_blattae@Seq_2889;Tetrapisispora_blattae@Seq_922;Tetrapisispora_blattae@Seq_4366;Tetrapisispora_blattae@Seq_2070;Tetrapisispora_blattae@Seq_2750;Tetrapisispora_blattae@Seq_2791"
