"rxnID"	"source"	"panID_RAVEN_kegg"	"panID_RAVEN_biocyc"	"panID_inter"	"panID_union"
"MNXR95786"	"RAVEN_kegg;RAVEN_biocyc"	"Tortispora_caseinolytica@Seq_992 or Tortispora_caseinolytica@Seq_636"	"Tortispora_caseinolytica@Seq_636 or Tortispora_caseinolytica@Seq_992"	"Tortispora_caseinolytica@Seq_992;Tortispora_caseinolytica@Seq_636"	"Tortispora_caseinolytica@Seq_992;Tortispora_caseinolytica@Seq_636"
"MNXR106335"	"RAVEN_kegg"	"Tortispora_caseinolytica@Seq_2159 or Tortispora_caseinolytica@Seq_4585"	NA	""	"Tortispora_caseinolytica@Seq_2159;Tortispora_caseinolytica@Seq_4585"
"MNXR96455"	"RAVEN_kegg;RAVEN_biocyc"	"Tortispora_caseinolytica@Seq_3042 or Tortispora_caseinolytica@Seq_3598"	"Tortispora_caseinolytica@Seq_3042 or Tortispora_caseinolytica@Seq_3598"	"Tortispora_caseinolytica@Seq_3042;Tortispora_caseinolytica@Seq_3598"	"Tortispora_caseinolytica@Seq_3042;Tortispora_caseinolytica@Seq_3598"
"MNXR95163"	"RAVEN_kegg"	"Tortispora_caseinolytica@Seq_2465"	NA	""	"Tortispora_caseinolytica@Seq_2465"
"MNXR102428"	"RAVEN_kegg"	"Tortispora_caseinolytica@Seq_2046 or Tortispora_caseinolytica@Seq_3653 or Tortispora_caseinolytica@Seq_3291 or Tortispora_caseinolytica@Seq_3818 or Tortispora_caseinolytica@Seq_2159 or Tortispora_caseinolytica@Seq_4585"	NA	""	"Tortispora_caseinolytica@Seq_2046;Tortispora_caseinolytica@Seq_3653;Tortispora_caseinolytica@Seq_3291;Tortispora_caseinolytica@Seq_3818;Tortispora_caseinolytica@Seq_2159;Tortispora_caseinolytica@Seq_4585"
"MNXR100245"	"RAVEN_kegg"	"Tortispora_caseinolytica@Seq_3796"	NA	""	"Tortispora_caseinolytica@Seq_3796"
"MNXR95628"	"RAVEN_kegg"	"Tortispora_caseinolytica@Seq_2597"	NA	""	"Tortispora_caseinolytica@Seq_2597"
"MNXR106342"	"RAVEN_kegg"	"Tortispora_caseinolytica@Seq_2565 or Tortispora_caseinolytica@Seq_388"	NA	""	"Tortispora_caseinolytica@Seq_2565;Tortispora_caseinolytica@Seq_388"
"MNXR101350"	"RAVEN_kegg"	"Tortispora_caseinolytica@Seq_3594 or Tortispora_caseinolytica@Seq_2301"	NA	""	"Tortispora_caseinolytica@Seq_3594;Tortispora_caseinolytica@Seq_2301"
"MNXR103095"	"RAVEN_kegg;RAVEN_biocyc"	"Tortispora_caseinolytica@Seq_2127"	"Tortispora_caseinolytica@Seq_2127"	"Tortispora_caseinolytica@Seq_2127"	"Tortispora_caseinolytica@Seq_2127"
"MNXR103430"	"RAVEN_kegg;RAVEN_biocyc"	"Tortispora_caseinolytica@Seq_1411"	"Tortispora_caseinolytica@Seq_1411"	"Tortispora_caseinolytica@Seq_1411"	"Tortispora_caseinolytica@Seq_1411"
"MNXR96043"	"RAVEN_kegg"	"Tortispora_caseinolytica@Seq_4280"	NA	""	"Tortispora_caseinolytica@Seq_4280"
"MNXR100658"	"RAVEN_kegg;RAVEN_biocyc"	"Tortispora_caseinolytica@Seq_1106"	"Tortispora_caseinolytica@Seq_1106"	"Tortispora_caseinolytica@Seq_1106"	"Tortispora_caseinolytica@Seq_1106"
"MNXR96131"	"RAVEN_kegg;RAVEN_biocyc"	"Tortispora_caseinolytica@Seq_3121 or Tortispora_caseinolytica@Seq_2190 or Tortispora_caseinolytica@Seq_1113 or Tortispora_caseinolytica@Seq_4224"	"Tortispora_caseinolytica@Seq_368"	""	"Tortispora_caseinolytica@Seq_3121;Tortispora_caseinolytica@Seq_2190;Tortispora_caseinolytica@Seq_1113;Tortispora_caseinolytica@Seq_4224;Tortispora_caseinolytica@Seq_368"
"MNXR95444"	"RAVEN_kegg"	"Tortispora_caseinolytica@Seq_107 or Tortispora_caseinolytica@Seq_1328"	NA	""	"Tortispora_caseinolytica@Seq_107;Tortispora_caseinolytica@Seq_1328"
"MNXR100289"	"RAVEN_kegg;RAVEN_biocyc"	"Tortispora_caseinolytica@Seq_3796"	"Tortispora_caseinolytica@Seq_3796"	"Tortispora_caseinolytica@Seq_3796"	"Tortispora_caseinolytica@Seq_3796"
"MNXR100097"	"RAVEN_kegg"	"Tortispora_caseinolytica@Seq_4481"	NA	""	"Tortispora_caseinolytica@Seq_4481"
"MNXR106388"	"RAVEN_kegg;RAVEN_biocyc"	"Tortispora_caseinolytica@Seq_3195 or Tortispora_caseinolytica@Seq_2296 or Tortispora_caseinolytica@Seq_4350"	"Tortispora_caseinolytica@Seq_2296 or Tortispora_caseinolytica@Seq_3195 or Tortispora_caseinolytica@Seq_4350"	"Tortispora_caseinolytica@Seq_3195;Tortispora_caseinolytica@Seq_2296;Tortispora_caseinolytica@Seq_4350"	"Tortispora_caseinolytica@Seq_3195;Tortispora_caseinolytica@Seq_2296;Tortispora_caseinolytica@Seq_4350"
"MNXR101888"	"RAVEN_kegg"	"Tortispora_caseinolytica@Seq_1280 or Tortispora_caseinolytica@Seq_2299 or Tortispora_caseinolytica@Seq_1951 or Tortispora_caseinolytica@Seq_2336"	NA	""	"Tortispora_caseinolytica@Seq_1280;Tortispora_caseinolytica@Seq_2299;Tortispora_caseinolytica@Seq_1951;Tortispora_caseinolytica@Seq_2336"
"MNXR101861"	"RAVEN_kegg"	"Tortispora_caseinolytica@Seq_1161"	NA	""	"Tortispora_caseinolytica@Seq_1161"
"MNXR101882"	"RAVEN_kegg;RAVEN_biocyc"	"Tortispora_caseinolytica@Seq_1631 or Tortispora_caseinolytica@Seq_2464"	"Tortispora_caseinolytica@Seq_1631 or Tortispora_caseinolytica@Seq_2464"	"Tortispora_caseinolytica@Seq_1631;Tortispora_caseinolytica@Seq_2464"	"Tortispora_caseinolytica@Seq_1631;Tortispora_caseinolytica@Seq_2464"
"MNXR106392"	"RAVEN_kegg"	"Tortispora_caseinolytica@Seq_916 or Tortispora_caseinolytica@Seq_3459"	NA	""	"Tortispora_caseinolytica@Seq_916;Tortispora_caseinolytica@Seq_3459"
"MNXR106395"	"RAVEN_kegg"	"Tortispora_caseinolytica@Seq_916 or Tortispora_caseinolytica@Seq_3459"	NA	""	"Tortispora_caseinolytica@Seq_916;Tortispora_caseinolytica@Seq_3459"
"MNXR100291"	"RAVEN_kegg"	"Tortispora_caseinolytica@Seq_3796"	NA	""	"Tortispora_caseinolytica@Seq_3796"
"MNXR100098"	"RAVEN_kegg;RAVEN_biocyc"	"Tortispora_caseinolytica@Seq_4481"	"Tortispora_caseinolytica@Seq_4481"	"Tortispora_caseinolytica@Seq_4481"	"Tortispora_caseinolytica@Seq_4481"
"MNXR96129"	"RAVEN_kegg"	"Tortispora_caseinolytica@Seq_3121 or Tortispora_caseinolytica@Seq_2190"	NA	""	"Tortispora_caseinolytica@Seq_3121;Tortispora_caseinolytica@Seq_2190"
"MNXR95856"	"RAVEN_kegg"	"Tortispora_caseinolytica@Seq_1336"	NA	""	"Tortispora_caseinolytica@Seq_1336"
"MNXR95435"	"RAVEN_kegg"	"Tortispora_caseinolytica@Seq_4271"	NA	""	"Tortispora_caseinolytica@Seq_4271"
