"rxnID"	"source"	"panID_RAVEN_kegg"	"panID_RAVEN_biocyc"	"panID_inter"	"panID_union"
"MNXR95786"	"RAVEN_kegg;RAVEN_biocyc"	"Yarrowia_keelungensis@Seq_1068"	"Yarrowia_keelungensis@Seq_1068"	"Yarrowia_keelungensis@Seq_1068"	"Yarrowia_keelungensis@Seq_1068"
"MNXR106335"	"RAVEN_kegg"	"Yarrowia_keelungensis@Seq_3368 or Yarrowia_keelungensis@Seq_1462"	NA	""	"Yarrowia_keelungensis@Seq_3368;Yarrowia_keelungensis@Seq_1462"
"MNXR96455"	"RAVEN_kegg;RAVEN_biocyc"	"Yarrowia_keelungensis@Seq_1147 or Yarrowia_keelungensis@Seq_3505 or Yarrowia_keelungensis@Seq_4870"	"Yarrowia_keelungensis@Seq_1147 or Yarrowia_keelungensis@Seq_3505 or Yarrowia_keelungensis@Seq_4870"	"Yarrowia_keelungensis@Seq_1147;Yarrowia_keelungensis@Seq_3505;Yarrowia_keelungensis@Seq_4870"	"Yarrowia_keelungensis@Seq_1147;Yarrowia_keelungensis@Seq_3505;Yarrowia_keelungensis@Seq_4870"
"MNXR95163"	"RAVEN_kegg"	"Yarrowia_keelungensis@Seq_2296"	NA	""	"Yarrowia_keelungensis@Seq_2296"
"MNXR102428"	"RAVEN_kegg"	"Yarrowia_keelungensis@Seq_3633 or Yarrowia_keelungensis@Seq_2163 or Yarrowia_keelungensis@Seq_3344 or Yarrowia_keelungensis@Seq_1315 or Yarrowia_keelungensis@Seq_3368 or Yarrowia_keelungensis@Seq_1462"	NA	""	"Yarrowia_keelungensis@Seq_3633;Yarrowia_keelungensis@Seq_2163;Yarrowia_keelungensis@Seq_3344;Yarrowia_keelungensis@Seq_1315;Yarrowia_keelungensis@Seq_3368;Yarrowia_keelungensis@Seq_1462"
"MNXR100245"	"RAVEN_kegg"	"Yarrowia_keelungensis@Seq_5547"	NA	""	"Yarrowia_keelungensis@Seq_5547"
"MNXR95628"	"RAVEN_kegg"	"Yarrowia_keelungensis@Seq_1546"	NA	""	"Yarrowia_keelungensis@Seq_1546"
"MNXR106343"	"RAVEN_kegg"	"Yarrowia_keelungensis@Seq_28 or Yarrowia_keelungensis@Seq_2570 or Yarrowia_keelungensis@Seq_751 or Yarrowia_keelungensis@Seq_3039 or Yarrowia_keelungensis@Seq_3494 or Yarrowia_keelungensis@Seq_3602"	NA	""	"Yarrowia_keelungensis@Seq_28;Yarrowia_keelungensis@Seq_2570;Yarrowia_keelungensis@Seq_751;Yarrowia_keelungensis@Seq_3039;Yarrowia_keelungensis@Seq_3494;Yarrowia_keelungensis@Seq_3602"
"MNXR101350"	"RAVEN_kegg"	"Yarrowia_keelungensis@Seq_5069"	NA	""	"Yarrowia_keelungensis@Seq_5069"
"MNXR103095"	"RAVEN_kegg;RAVEN_biocyc"	"Yarrowia_keelungensis@Seq_423"	"Yarrowia_keelungensis@Seq_423"	"Yarrowia_keelungensis@Seq_423"	"Yarrowia_keelungensis@Seq_423"
"MNXR103430"	"RAVEN_kegg;RAVEN_biocyc"	"Yarrowia_keelungensis@Seq_4202"	"Yarrowia_keelungensis@Seq_4202"	"Yarrowia_keelungensis@Seq_4202"	"Yarrowia_keelungensis@Seq_4202"
"MNXR96043"	"RAVEN_kegg"	"Yarrowia_keelungensis@Seq_1653 or Yarrowia_keelungensis@Seq_5523 or Yarrowia_keelungensis@Seq_2177"	NA	""	"Yarrowia_keelungensis@Seq_1653;Yarrowia_keelungensis@Seq_5523;Yarrowia_keelungensis@Seq_2177"
"MNXR100658"	"RAVEN_kegg;RAVEN_biocyc"	"Yarrowia_keelungensis@Seq_178"	"Yarrowia_keelungensis@Seq_178"	"Yarrowia_keelungensis@Seq_178"	"Yarrowia_keelungensis@Seq_178"
"MNXR96131"	"RAVEN_kegg;RAVEN_biocyc"	"Yarrowia_keelungensis@Seq_441 or Yarrowia_keelungensis@Seq_2373 or Yarrowia_keelungensis@Seq_2556 or Yarrowia_keelungensis@Seq_5142 or Yarrowia_keelungensis@Seq_4652 or Yarrowia_keelungensis@Seq_6277 or Yarrowia_keelungensis@Seq_2986 or Yarrowia_keelungensis@Seq_3074"	"Yarrowia_keelungensis@Seq_2003 or Yarrowia_keelungensis@Seq_4755"	""	"Yarrowia_keelungensis@Seq_441;Yarrowia_keelungensis@Seq_2373;Yarrowia_keelungensis@Seq_2556;Yarrowia_keelungensis@Seq_5142;Yarrowia_keelungensis@Seq_4652;Yarrowia_keelungensis@Seq_6277;Yarrowia_keelungensis@Seq_2986;Yarrowia_keelungensis@Seq_3074;Yarrowia_keelungensis@Seq_2003;Yarrowia_keelungensis@Seq_4755"
"MNXR102054"	"RAVEN_kegg"	"Yarrowia_keelungensis@Seq_2264"	NA	""	"Yarrowia_keelungensis@Seq_2264"
"MNXR95444"	"RAVEN_kegg"	"Yarrowia_keelungensis@Seq_5074"	NA	""	"Yarrowia_keelungensis@Seq_5074"
"MNXR100289"	"RAVEN_kegg;RAVEN_biocyc"	"Yarrowia_keelungensis@Seq_5547"	"Yarrowia_keelungensis@Seq_5547"	"Yarrowia_keelungensis@Seq_5547"	"Yarrowia_keelungensis@Seq_5547"
"MNXR100097"	"RAVEN_kegg"	"Yarrowia_keelungensis@Seq_5422"	NA	""	"Yarrowia_keelungensis@Seq_5422"
"MNXR106388"	"RAVEN_kegg;RAVEN_biocyc"	"Yarrowia_keelungensis@Seq_4692 or Yarrowia_keelungensis@Seq_6294"	"Yarrowia_keelungensis@Seq_4692 or Yarrowia_keelungensis@Seq_6294"	"Yarrowia_keelungensis@Seq_4692;Yarrowia_keelungensis@Seq_6294"	"Yarrowia_keelungensis@Seq_4692;Yarrowia_keelungensis@Seq_6294"
"MNXR101888"	"RAVEN_kegg"	"Yarrowia_keelungensis@Seq_1254 or Yarrowia_keelungensis@Seq_685 or Yarrowia_keelungensis@Seq_1466"	NA	""	"Yarrowia_keelungensis@Seq_1254;Yarrowia_keelungensis@Seq_685;Yarrowia_keelungensis@Seq_1466"
"MNXR101861"	"RAVEN_kegg"	"Yarrowia_keelungensis@Seq_2264 or Yarrowia_keelungensis@Seq_5600"	NA	""	"Yarrowia_keelungensis@Seq_2264;Yarrowia_keelungensis@Seq_5600"
"MNXR101882"	"RAVEN_kegg;RAVEN_biocyc"	"Yarrowia_keelungensis@Seq_5753 or Yarrowia_keelungensis@Seq_2257 or Yarrowia_keelungensis@Seq_657"	"Yarrowia_keelungensis@Seq_657 or Yarrowia_keelungensis@Seq_2257 or Yarrowia_keelungensis@Seq_5753"	"Yarrowia_keelungensis@Seq_5753;Yarrowia_keelungensis@Seq_2257;Yarrowia_keelungensis@Seq_657"	"Yarrowia_keelungensis@Seq_5753;Yarrowia_keelungensis@Seq_2257;Yarrowia_keelungensis@Seq_657"
"MNXR106392"	"RAVEN_kegg"	"Yarrowia_keelungensis@Seq_5147 or Yarrowia_keelungensis@Seq_693"	NA	""	"Yarrowia_keelungensis@Seq_5147;Yarrowia_keelungensis@Seq_693"
"MNXR106395"	"RAVEN_kegg"	"Yarrowia_keelungensis@Seq_5147 or Yarrowia_keelungensis@Seq_693"	NA	""	"Yarrowia_keelungensis@Seq_5147;Yarrowia_keelungensis@Seq_693"
"MNXR100291"	"RAVEN_kegg"	"Yarrowia_keelungensis@Seq_5547"	NA	""	"Yarrowia_keelungensis@Seq_5547"
"MNXR100098"	"RAVEN_kegg;RAVEN_biocyc"	"Yarrowia_keelungensis@Seq_5422"	"Yarrowia_keelungensis@Seq_5422"	"Yarrowia_keelungensis@Seq_5422"	"Yarrowia_keelungensis@Seq_5422"
