"rxnID"	"source"	"panID_RAVEN_kegg"	"panID_RAVEN_biocyc"	"panID_inter"	"panID_union"
"MNXR95786"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034637_Ogataea_populiabae@Seq_2528 or yHMPu5000034637_Ogataea_populiabae@Seq_4793"	"yHMPu5000034637_Ogataea_populiabae@Seq_2528"	"yHMPu5000034637_Ogataea_populiabae@Seq_2528"	"yHMPu5000034637_Ogataea_populiabae@Seq_2528;yHMPu5000034637_Ogataea_populiabae@Seq_4793"
"MNXR106335"	"RAVEN_kegg"	"yHMPu5000034637_Ogataea_populiabae@Seq_2234 or yHMPu5000034637_Ogataea_populiabae@Seq_4592"	NA	""	"yHMPu5000034637_Ogataea_populiabae@Seq_2234;yHMPu5000034637_Ogataea_populiabae@Seq_4592"
"MNXR96455"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034637_Ogataea_populiabae@Seq_1226"	"yHMPu5000034637_Ogataea_populiabae@Seq_1226"	"yHMPu5000034637_Ogataea_populiabae@Seq_1226"	"yHMPu5000034637_Ogataea_populiabae@Seq_1226"
"MNXR95163"	"RAVEN_kegg"	"yHMPu5000034637_Ogataea_populiabae@Seq_4202"	NA	""	"yHMPu5000034637_Ogataea_populiabae@Seq_4202"
"MNXR102428"	"RAVEN_kegg"	"yHMPu5000034637_Ogataea_populiabae@Seq_2768 or yHMPu5000034637_Ogataea_populiabae@Seq_2462 or yHMPu5000034637_Ogataea_populiabae@Seq_1504 or yHMPu5000034637_Ogataea_populiabae@Seq_2234 or yHMPu5000034637_Ogataea_populiabae@Seq_4592"	NA	""	"yHMPu5000034637_Ogataea_populiabae@Seq_2768;yHMPu5000034637_Ogataea_populiabae@Seq_2462;yHMPu5000034637_Ogataea_populiabae@Seq_1504;yHMPu5000034637_Ogataea_populiabae@Seq_2234;yHMPu5000034637_Ogataea_populiabae@Seq_4592"
"MNXR100245"	"RAVEN_kegg"	"yHMPu5000034637_Ogataea_populiabae@Seq_2441"	NA	""	"yHMPu5000034637_Ogataea_populiabae@Seq_2441"
"MNXR106343"	"RAVEN_kegg"	"yHMPu5000034637_Ogataea_populiabae@Seq_2312 or yHMPu5000034637_Ogataea_populiabae@Seq_4109 or yHMPu5000034637_Ogataea_populiabae@Seq_1027 or yHMPu5000034637_Ogataea_populiabae@Seq_3435 or yHMPu5000034637_Ogataea_populiabae@Seq_3984"	NA	""	"yHMPu5000034637_Ogataea_populiabae@Seq_2312;yHMPu5000034637_Ogataea_populiabae@Seq_4109;yHMPu5000034637_Ogataea_populiabae@Seq_1027;yHMPu5000034637_Ogataea_populiabae@Seq_3435;yHMPu5000034637_Ogataea_populiabae@Seq_3984"
"MNXR101350"	"RAVEN_kegg"	"yHMPu5000034637_Ogataea_populiabae@Seq_2432"	NA	""	"yHMPu5000034637_Ogataea_populiabae@Seq_2432"
"MNXR103095"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034637_Ogataea_populiabae@Seq_1091"	"yHMPu5000034637_Ogataea_populiabae@Seq_1091"	"yHMPu5000034637_Ogataea_populiabae@Seq_1091"	"yHMPu5000034637_Ogataea_populiabae@Seq_1091"
"MNXR103430"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034637_Ogataea_populiabae@Seq_4429"	"yHMPu5000034637_Ogataea_populiabae@Seq_4429"	"yHMPu5000034637_Ogataea_populiabae@Seq_4429"	"yHMPu5000034637_Ogataea_populiabae@Seq_4429"
