"rxnID"	"source"	"panID_RAVEN_kegg"	"panID_RAVEN_biocyc"	"panID_inter"	"panID_union"
"MNXR95786"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_4107"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_4107"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_4107"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_4107"
"MNXR106335"	"RAVEN_kegg"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_347"	NA	""	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_347"
"MNXR96455"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2966 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_51 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_4478"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_51 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2966"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2966;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_51"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2966;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_51;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_4478"
"MNXR95163"	"RAVEN_kegg"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_3306"	NA	""	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_3306"
"MNXR102428"	"RAVEN_kegg"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_1814 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_1231 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_790 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_1082 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_4464 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_1459 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_347"	NA	""	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_1814;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_1231;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_790;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_1082;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_4464;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_1459;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_347"
"MNXR100245"	"RAVEN_kegg"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_311"	NA	""	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_311"
"MNXR106342"	"RAVEN_kegg"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_710"	NA	""	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_710"
"MNXR103095"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2468"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2468"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2468"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2468"
"MNXR103430"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_3840"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_3840"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_3840"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_3840"
"MNXR96043"	"RAVEN_kegg"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_3211 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_491 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_3412"	NA	""	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_3211;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_491;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_3412"
"MNXR96131"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_1251 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_652 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_228 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_1325"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_4041"	""	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_1251;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_652;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_228;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_1325;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_4041"
"MNXR102054"	"RAVEN_kegg"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2240"	NA	""	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2240"
"MNXR95444"	"RAVEN_kegg"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_1579"	NA	""	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_1579"
"MNXR100289"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_311"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_311"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_311"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_311"
"MNXR100097"	"RAVEN_kegg"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2629 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2823"	NA	""	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2629;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2823"
"MNXR106388"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_4043 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_1054 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2870"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_1054 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2870 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_4043"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_4043;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_1054;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2870"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_4043;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_1054;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2870"
"MNXR101888"	"RAVEN_kegg"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2454 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_1375 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_621 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_1091"	NA	""	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2454;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_1375;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_621;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_1091"
"MNXR101861"	"RAVEN_kegg"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2240 or yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_524"	NA	""	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_2240;yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_524"
