"rxnID"	"source"	"panID_RAVEN_kegg"	"panID_RAVEN_biocyc"	"panID_inter"	"panID_union"
"MNXR95786"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034883_Peterozyma_xylosa@Seq_556 or yHMPu5000034883_Peterozyma_xylosa@Seq_3755"	"yHMPu5000034883_Peterozyma_xylosa@Seq_556 or yHMPu5000034883_Peterozyma_xylosa@Seq_3755"	"yHMPu5000034883_Peterozyma_xylosa@Seq_556;yHMPu5000034883_Peterozyma_xylosa@Seq_3755"	"yHMPu5000034883_Peterozyma_xylosa@Seq_556;yHMPu5000034883_Peterozyma_xylosa@Seq_3755"
"MNXR106335"	"RAVEN_kegg"	"yHMPu5000034883_Peterozyma_xylosa@Seq_5884 or yHMPu5000034883_Peterozyma_xylosa@Seq_1396"	NA	""	"yHMPu5000034883_Peterozyma_xylosa@Seq_5884;yHMPu5000034883_Peterozyma_xylosa@Seq_1396"
"MNXR96455"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034883_Peterozyma_xylosa@Seq_2139 or yHMPu5000034883_Peterozyma_xylosa@Seq_227"	"yHMPu5000034883_Peterozyma_xylosa@Seq_227 or yHMPu5000034883_Peterozyma_xylosa@Seq_2139"	"yHMPu5000034883_Peterozyma_xylosa@Seq_2139;yHMPu5000034883_Peterozyma_xylosa@Seq_227"	"yHMPu5000034883_Peterozyma_xylosa@Seq_2139;yHMPu5000034883_Peterozyma_xylosa@Seq_227"
"MNXR95163"	"RAVEN_kegg"	"yHMPu5000034883_Peterozyma_xylosa@Seq_4610"	NA	""	"yHMPu5000034883_Peterozyma_xylosa@Seq_4610"
"MNXR102428"	"RAVEN_kegg"	"yHMPu5000034883_Peterozyma_xylosa@Seq_5916 or yHMPu5000034883_Peterozyma_xylosa@Seq_3977 or yHMPu5000034883_Peterozyma_xylosa@Seq_1259 or yHMPu5000034883_Peterozyma_xylosa@Seq_5884 or yHMPu5000034883_Peterozyma_xylosa@Seq_1396"	NA	""	"yHMPu5000034883_Peterozyma_xylosa@Seq_5916;yHMPu5000034883_Peterozyma_xylosa@Seq_3977;yHMPu5000034883_Peterozyma_xylosa@Seq_1259;yHMPu5000034883_Peterozyma_xylosa@Seq_5884;yHMPu5000034883_Peterozyma_xylosa@Seq_1396"
"MNXR100245"	"RAVEN_kegg"	"yHMPu5000034883_Peterozyma_xylosa@Seq_5146"	NA	""	"yHMPu5000034883_Peterozyma_xylosa@Seq_5146"
"MNXR95628"	"RAVEN_kegg"	"yHMPu5000034883_Peterozyma_xylosa@Seq_3296"	NA	""	"yHMPu5000034883_Peterozyma_xylosa@Seq_3296"
"MNXR106343"	"RAVEN_kegg"	"yHMPu5000034883_Peterozyma_xylosa@Seq_5689 or yHMPu5000034883_Peterozyma_xylosa@Seq_3115 or yHMPu5000034883_Peterozyma_xylosa@Seq_3427 or yHMPu5000034883_Peterozyma_xylosa@Seq_2717 or yHMPu5000034883_Peterozyma_xylosa@Seq_2425 or yHMPu5000034883_Peterozyma_xylosa@Seq_3750 or yHMPu5000034883_Peterozyma_xylosa@Seq_5697 or yHMPu5000034883_Peterozyma_xylosa@Seq_4796 or yHMPu5000034883_Peterozyma_xylosa@Seq_10"	NA	""	"yHMPu5000034883_Peterozyma_xylosa@Seq_5689;yHMPu5000034883_Peterozyma_xylosa@Seq_3115;yHMPu5000034883_Peterozyma_xylosa@Seq_3427;yHMPu5000034883_Peterozyma_xylosa@Seq_2717;yHMPu5000034883_Peterozyma_xylosa@Seq_2425;yHMPu5000034883_Peterozyma_xylosa@Seq_3750;yHMPu5000034883_Peterozyma_xylosa@Seq_5697;yHMPu5000034883_Peterozyma_xylosa@Seq_4796;yHMPu5000034883_Peterozyma_xylosa@Seq_10"
"MNXR101350"	"RAVEN_kegg"	"yHMPu5000034883_Peterozyma_xylosa@Seq_4202 or yHMPu5000034883_Peterozyma_xylosa@Seq_4258"	NA	""	"yHMPu5000034883_Peterozyma_xylosa@Seq_4202;yHMPu5000034883_Peterozyma_xylosa@Seq_4258"
"MNXR103095"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034883_Peterozyma_xylosa@Seq_1276"	"yHMPu5000034883_Peterozyma_xylosa@Seq_1276"	"yHMPu5000034883_Peterozyma_xylosa@Seq_1276"	"yHMPu5000034883_Peterozyma_xylosa@Seq_1276"
