"rxnID"	"source"	"panID_RAVEN_kegg"	"panID_RAVEN_biocyc"	"panID_inter"	"panID_union"
"MNXR95786"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034897_Ogataea_glucozyma@Seq_4429 or yHMPu5000034897_Ogataea_glucozyma@Seq_4871"	"yHMPu5000034897_Ogataea_glucozyma@Seq_4429"	"yHMPu5000034897_Ogataea_glucozyma@Seq_4429"	"yHMPu5000034897_Ogataea_glucozyma@Seq_4429;yHMPu5000034897_Ogataea_glucozyma@Seq_4871"
"MNXR106335"	"RAVEN_kegg"	"yHMPu5000034897_Ogataea_glucozyma@Seq_2897 or yHMPu5000034897_Ogataea_glucozyma@Seq_1640"	NA	""	"yHMPu5000034897_Ogataea_glucozyma@Seq_2897;yHMPu5000034897_Ogataea_glucozyma@Seq_1640"
"MNXR96455"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034897_Ogataea_glucozyma@Seq_4787"	"yHMPu5000034897_Ogataea_glucozyma@Seq_4787"	"yHMPu5000034897_Ogataea_glucozyma@Seq_4787"	"yHMPu5000034897_Ogataea_glucozyma@Seq_4787"
"MNXR95163"	"RAVEN_kegg"	"yHMPu5000034897_Ogataea_glucozyma@Seq_1807 or yHMPu5000034897_Ogataea_glucozyma@Seq_598"	NA	""	"yHMPu5000034897_Ogataea_glucozyma@Seq_1807;yHMPu5000034897_Ogataea_glucozyma@Seq_598"
"MNXR102428"	"RAVEN_kegg"	"yHMPu5000034897_Ogataea_glucozyma@Seq_1303 or yHMPu5000034897_Ogataea_glucozyma@Seq_4698 or yHMPu5000034897_Ogataea_glucozyma@Seq_463 or yHMPu5000034897_Ogataea_glucozyma@Seq_2897 or yHMPu5000034897_Ogataea_glucozyma@Seq_1640"	NA	""	"yHMPu5000034897_Ogataea_glucozyma@Seq_1303;yHMPu5000034897_Ogataea_glucozyma@Seq_4698;yHMPu5000034897_Ogataea_glucozyma@Seq_463;yHMPu5000034897_Ogataea_glucozyma@Seq_2897;yHMPu5000034897_Ogataea_glucozyma@Seq_1640"
"MNXR100245"	"RAVEN_kegg"	"yHMPu5000034897_Ogataea_glucozyma@Seq_2255"	NA	""	"yHMPu5000034897_Ogataea_glucozyma@Seq_2255"
"MNXR106343"	"RAVEN_kegg"	"yHMPu5000034897_Ogataea_glucozyma@Seq_2437 or yHMPu5000034897_Ogataea_glucozyma@Seq_2279 or yHMPu5000034897_Ogataea_glucozyma@Seq_1890 or yHMPu5000034897_Ogataea_glucozyma@Seq_584 or yHMPu5000034897_Ogataea_glucozyma@Seq_5735"	NA	""	"yHMPu5000034897_Ogataea_glucozyma@Seq_2437;yHMPu5000034897_Ogataea_glucozyma@Seq_2279;yHMPu5000034897_Ogataea_glucozyma@Seq_1890;yHMPu5000034897_Ogataea_glucozyma@Seq_584;yHMPu5000034897_Ogataea_glucozyma@Seq_5735"
"MNXR101350"	"RAVEN_kegg"	"yHMPu5000034897_Ogataea_glucozyma@Seq_3796"	NA	""	"yHMPu5000034897_Ogataea_glucozyma@Seq_3796"
"MNXR103095"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034897_Ogataea_glucozyma@Seq_1454"	"yHMPu5000034897_Ogataea_glucozyma@Seq_1454"	"yHMPu5000034897_Ogataea_glucozyma@Seq_1454"	"yHMPu5000034897_Ogataea_glucozyma@Seq_1454"
"MNXR103430"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034897_Ogataea_glucozyma@Seq_3501"	"yHMPu5000034897_Ogataea_glucozyma@Seq_3501"	"yHMPu5000034897_Ogataea_glucozyma@Seq_3501"	"yHMPu5000034897_Ogataea_glucozyma@Seq_3501"
"MNXR96043"	"RAVEN_kegg"	"yHMPu5000034897_Ogataea_glucozyma@Seq_5402 or yHMPu5000034897_Ogataea_glucozyma@Seq_4690 or yHMPu5000034897_Ogataea_glucozyma@Seq_3071"	NA	""	"yHMPu5000034897_Ogataea_glucozyma@Seq_5402;yHMPu5000034897_Ogataea_glucozyma@Seq_4690;yHMPu5000034897_Ogataea_glucozyma@Seq_3071"
"MNXR100658"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034897_Ogataea_glucozyma@Seq_3838"	"yHMPu5000034897_Ogataea_glucozyma@Seq_3838"	"yHMPu5000034897_Ogataea_glucozyma@Seq_3838"	"yHMPu5000034897_Ogataea_glucozyma@Seq_3838"
"MNXR96131"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034897_Ogataea_glucozyma@Seq_5159 or yHMPu5000034897_Ogataea_glucozyma@Seq_461 or yHMPu5000034897_Ogataea_glucozyma@Seq_3350 or yHMPu5000034897_Ogataea_glucozyma@Seq_1089 or yHMPu5000034897_Ogataea_glucozyma@Seq_619 or yHMPu5000034897_Ogataea_glucozyma@Seq_3599 or yHMPu5000034897_Ogataea_glucozyma@Seq_606"	"yHMPu5000034897_Ogataea_glucozyma@Seq_2598 or yHMPu5000034897_Ogataea_glucozyma@Seq_5655"	""	"yHMPu5000034897_Ogataea_glucozyma@Seq_5159;yHMPu5000034897_Ogataea_glucozyma@Seq_461;yHMPu5000034897_Ogataea_glucozyma@Seq_3350;yHMPu5000034897_Ogataea_glucozyma@Seq_1089;yHMPu5000034897_Ogataea_glucozyma@Seq_619;yHMPu5000034897_Ogataea_glucozyma@Seq_3599;yHMPu5000034897_Ogataea_glucozyma@Seq_606;yHMPu5000034897_Ogataea_glucozyma@Seq_2598;yHMPu5000034897_Ogataea_glucozyma@Seq_5655"
"MNXR102054"	"RAVEN_kegg"	"yHMPu5000034897_Ogataea_glucozyma@Seq_308 or yHMPu5000034897_Ogataea_glucozyma@Seq_3928"	NA	""	"yHMPu5000034897_Ogataea_glucozyma@Seq_308;yHMPu5000034897_Ogataea_glucozyma@Seq_3928"
"MNXR95444"	"RAVEN_kegg"	"yHMPu5000034897_Ogataea_glucozyma@Seq_3533 or yHMPu5000034897_Ogataea_glucozyma@Seq_3992"	NA	""	"yHMPu5000034897_Ogataea_glucozyma@Seq_3533;yHMPu5000034897_Ogataea_glucozyma@Seq_3992"
"MNXR100289"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034897_Ogataea_glucozyma@Seq_2255"	"yHMPu5000034897_Ogataea_glucozyma@Seq_2255"	"yHMPu5000034897_Ogataea_glucozyma@Seq_2255"	"yHMPu5000034897_Ogataea_glucozyma@Seq_2255"
"MNXR100097"	"RAVEN_kegg"	"yHMPu5000034897_Ogataea_glucozyma@Seq_5302"	NA	""	"yHMPu5000034897_Ogataea_glucozyma@Seq_5302"
