"rxnID"	"source"	"panID_RAVEN_kegg"	"panID_RAVEN_biocyc"	"panID_inter"	"panID_union"
"MNXR95786"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034974_Deakozyma_indianensis@Seq_4169"	"yHMPu5000034974_Deakozyma_indianensis@Seq_4169"	"yHMPu5000034974_Deakozyma_indianensis@Seq_4169"	"yHMPu5000034974_Deakozyma_indianensis@Seq_4169"
"MNXR106335"	"RAVEN_kegg"	"yHMPu5000034974_Deakozyma_indianensis@Seq_2156 or yHMPu5000034974_Deakozyma_indianensis@Seq_1081"	NA	""	"yHMPu5000034974_Deakozyma_indianensis@Seq_2156;yHMPu5000034974_Deakozyma_indianensis@Seq_1081"
"MNXR96455"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034974_Deakozyma_indianensis@Seq_2259"	"yHMPu5000034974_Deakozyma_indianensis@Seq_2259"	"yHMPu5000034974_Deakozyma_indianensis@Seq_2259"	"yHMPu5000034974_Deakozyma_indianensis@Seq_2259"
"MNXR95163"	"RAVEN_kegg"	"yHMPu5000034974_Deakozyma_indianensis@Seq_2179"	NA	""	"yHMPu5000034974_Deakozyma_indianensis@Seq_2179"
"MNXR102428"	"RAVEN_kegg"	"yHMPu5000034974_Deakozyma_indianensis@Seq_2615 or yHMPu5000034974_Deakozyma_indianensis@Seq_2979 or yHMPu5000034974_Deakozyma_indianensis@Seq_1569 or yHMPu5000034974_Deakozyma_indianensis@Seq_2899 or yHMPu5000034974_Deakozyma_indianensis@Seq_2156 or yHMPu5000034974_Deakozyma_indianensis@Seq_1081"	NA	""	"yHMPu5000034974_Deakozyma_indianensis@Seq_2615;yHMPu5000034974_Deakozyma_indianensis@Seq_2979;yHMPu5000034974_Deakozyma_indianensis@Seq_1569;yHMPu5000034974_Deakozyma_indianensis@Seq_2899;yHMPu5000034974_Deakozyma_indianensis@Seq_2156;yHMPu5000034974_Deakozyma_indianensis@Seq_1081"
"MNXR100245"	"RAVEN_kegg"	"yHMPu5000034974_Deakozyma_indianensis@Seq_2147"	NA	""	"yHMPu5000034974_Deakozyma_indianensis@Seq_2147"
"MNXR95628"	"RAVEN_kegg"	"yHMPu5000034974_Deakozyma_indianensis@Seq_557 or yHMPu5000034974_Deakozyma_indianensis@Seq_4854 or yHMPu5000034974_Deakozyma_indianensis@Seq_5272"	NA	""	"yHMPu5000034974_Deakozyma_indianensis@Seq_557;yHMPu5000034974_Deakozyma_indianensis@Seq_4854;yHMPu5000034974_Deakozyma_indianensis@Seq_5272"
"MNXR106343"	"RAVEN_kegg"	"yHMPu5000034974_Deakozyma_indianensis@Seq_2208 or yHMPu5000034974_Deakozyma_indianensis@Seq_1662 or yHMPu5000034974_Deakozyma_indianensis@Seq_3013 or yHMPu5000034974_Deakozyma_indianensis@Seq_4982"	NA	""	"yHMPu5000034974_Deakozyma_indianensis@Seq_2208;yHMPu5000034974_Deakozyma_indianensis@Seq_1662;yHMPu5000034974_Deakozyma_indianensis@Seq_3013;yHMPu5000034974_Deakozyma_indianensis@Seq_4982"
"MNXR101350"	"RAVEN_kegg"	"yHMPu5000034974_Deakozyma_indianensis@Seq_3448"	NA	""	"yHMPu5000034974_Deakozyma_indianensis@Seq_3448"
"MNXR103095"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034974_Deakozyma_indianensis@Seq_605"	"yHMPu5000034974_Deakozyma_indianensis@Seq_605"	"yHMPu5000034974_Deakozyma_indianensis@Seq_605"	"yHMPu5000034974_Deakozyma_indianensis@Seq_605"
"MNXR103430"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034974_Deakozyma_indianensis@Seq_3472"	"yHMPu5000034974_Deakozyma_indianensis@Seq_3472"	"yHMPu5000034974_Deakozyma_indianensis@Seq_3472"	"yHMPu5000034974_Deakozyma_indianensis@Seq_3472"
"MNXR96043"	"RAVEN_kegg"	"yHMPu5000034974_Deakozyma_indianensis@Seq_1455 or yHMPu5000034974_Deakozyma_indianensis@Seq_3709"	NA	""	"yHMPu5000034974_Deakozyma_indianensis@Seq_1455;yHMPu5000034974_Deakozyma_indianensis@Seq_3709"
