"rxnID"	"source"	"panID_RAVEN_kegg"	"panID_RAVEN_biocyc"	"panID_inter"	"panID_union"
"MNXR95786"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034986_Candida_oregonensis@Seq_1387"	"yHMPu5000034986_Candida_oregonensis@Seq_1387"	"yHMPu5000034986_Candida_oregonensis@Seq_1387"	"yHMPu5000034986_Candida_oregonensis@Seq_1387"
"MNXR106335"	"RAVEN_kegg"	"yHMPu5000034986_Candida_oregonensis@Seq_3461 or yHMPu5000034986_Candida_oregonensis@Seq_3297"	NA	""	"yHMPu5000034986_Candida_oregonensis@Seq_3461;yHMPu5000034986_Candida_oregonensis@Seq_3297"
"MNXR96455"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034986_Candida_oregonensis@Seq_1459"	"yHMPu5000034986_Candida_oregonensis@Seq_1459"	"yHMPu5000034986_Candida_oregonensis@Seq_1459"	"yHMPu5000034986_Candida_oregonensis@Seq_1459"
"MNXR102428"	"RAVEN_kegg"	"yHMPu5000034986_Candida_oregonensis@Seq_2690 or yHMPu5000034986_Candida_oregonensis@Seq_5057 or yHMPu5000034986_Candida_oregonensis@Seq_444 or yHMPu5000034986_Candida_oregonensis@Seq_934 or yHMPu5000034986_Candida_oregonensis@Seq_3461 or yHMPu5000034986_Candida_oregonensis@Seq_3297"	NA	""	"yHMPu5000034986_Candida_oregonensis@Seq_2690;yHMPu5000034986_Candida_oregonensis@Seq_5057;yHMPu5000034986_Candida_oregonensis@Seq_444;yHMPu5000034986_Candida_oregonensis@Seq_934;yHMPu5000034986_Candida_oregonensis@Seq_3461;yHMPu5000034986_Candida_oregonensis@Seq_3297"
"MNXR100245"	"RAVEN_kegg"	"yHMPu5000034986_Candida_oregonensis@Seq_656"	NA	""	"yHMPu5000034986_Candida_oregonensis@Seq_656"
"MNXR95628"	"RAVEN_kegg"	"yHMPu5000034986_Candida_oregonensis@Seq_1127 or yHMPu5000034986_Candida_oregonensis@Seq_2900"	NA	""	"yHMPu5000034986_Candida_oregonensis@Seq_1127;yHMPu5000034986_Candida_oregonensis@Seq_2900"
"MNXR106342"	"RAVEN_kegg"	"yHMPu5000034986_Candida_oregonensis@Seq_2419"	NA	""	"yHMPu5000034986_Candida_oregonensis@Seq_2419"
"MNXR106343"	"RAVEN_kegg"	"yHMPu5000034986_Candida_oregonensis@Seq_1735 or yHMPu5000034986_Candida_oregonensis@Seq_2176"	NA	""	"yHMPu5000034986_Candida_oregonensis@Seq_1735;yHMPu5000034986_Candida_oregonensis@Seq_2176"
"MNXR101350"	"RAVEN_kegg"	"yHMPu5000034986_Candida_oregonensis@Seq_4145 or yHMPu5000034986_Candida_oregonensis@Seq_4359 or yHMPu5000034986_Candida_oregonensis@Seq_4142"	NA	""	"yHMPu5000034986_Candida_oregonensis@Seq_4145;yHMPu5000034986_Candida_oregonensis@Seq_4359;yHMPu5000034986_Candida_oregonensis@Seq_4142"
"MNXR103095"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034986_Candida_oregonensis@Seq_4725"	"yHMPu5000034986_Candida_oregonensis@Seq_4725"	"yHMPu5000034986_Candida_oregonensis@Seq_4725"	"yHMPu5000034986_Candida_oregonensis@Seq_4725"
"MNXR103430"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034986_Candida_oregonensis@Seq_3599"	"yHMPu5000034986_Candida_oregonensis@Seq_3599"	"yHMPu5000034986_Candida_oregonensis@Seq_3599"	"yHMPu5000034986_Candida_oregonensis@Seq_3599"
"MNXR96043"	"RAVEN_kegg"	"yHMPu5000034986_Candida_oregonensis@Seq_2773 or yHMPu5000034986_Candida_oregonensis@Seq_500"	NA	""	"yHMPu5000034986_Candida_oregonensis@Seq_2773;yHMPu5000034986_Candida_oregonensis@Seq_500"
"MNXR100658"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034986_Candida_oregonensis@Seq_535"	"yHMPu5000034986_Candida_oregonensis@Seq_535"	"yHMPu5000034986_Candida_oregonensis@Seq_535"	"yHMPu5000034986_Candida_oregonensis@Seq_535"
"MNXR96131"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034986_Candida_oregonensis@Seq_1253 or yHMPu5000034986_Candida_oregonensis@Seq_2887 or yHMPu5000034986_Candida_oregonensis@Seq_2437 or yHMPu5000034986_Candida_oregonensis@Seq_1544 or yHMPu5000034986_Candida_oregonensis@Seq_1754 or yHMPu5000034986_Candida_oregonensis@Seq_598 or yHMPu5000034986_Candida_oregonensis@Seq_4562"	"yHMPu5000034986_Candida_oregonensis@Seq_4137"	""	"yHMPu5000034986_Candida_oregonensis@Seq_1253;yHMPu5000034986_Candida_oregonensis@Seq_2887;yHMPu5000034986_Candida_oregonensis@Seq_2437;yHMPu5000034986_Candida_oregonensis@Seq_1544;yHMPu5000034986_Candida_oregonensis@Seq_1754;yHMPu5000034986_Candida_oregonensis@Seq_598;yHMPu5000034986_Candida_oregonensis@Seq_4562;yHMPu5000034986_Candida_oregonensis@Seq_4137"
"MNXR102054"	"RAVEN_kegg"	"yHMPu5000034986_Candida_oregonensis@Seq_1417"	NA	""	"yHMPu5000034986_Candida_oregonensis@Seq_1417"
"MNXR95444"	"RAVEN_kegg"	"yHMPu5000034986_Candida_oregonensis@Seq_4026"	NA	""	"yHMPu5000034986_Candida_oregonensis@Seq_4026"
"MNXR100289"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034986_Candida_oregonensis@Seq_656"	"yHMPu5000034986_Candida_oregonensis@Seq_656"	"yHMPu5000034986_Candida_oregonensis@Seq_656"	"yHMPu5000034986_Candida_oregonensis@Seq_656"
"MNXR100097"	"RAVEN_kegg"	"yHMPu5000034986_Candida_oregonensis@Seq_1612"	NA	""	"yHMPu5000034986_Candida_oregonensis@Seq_1612"
"MNXR106388"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000034986_Candida_oregonensis@Seq_1992 or yHMPu5000034986_Candida_oregonensis@Seq_896 or yHMPu5000034986_Candida_oregonensis@Seq_2282"	"yHMPu5000034986_Candida_oregonensis@Seq_896 or yHMPu5000034986_Candida_oregonensis@Seq_1992 or yHMPu5000034986_Candida_oregonensis@Seq_2282"	"yHMPu5000034986_Candida_oregonensis@Seq_1992;yHMPu5000034986_Candida_oregonensis@Seq_896;yHMPu5000034986_Candida_oregonensis@Seq_2282"	"yHMPu5000034986_Candida_oregonensis@Seq_1992;yHMPu5000034986_Candida_oregonensis@Seq_896;yHMPu5000034986_Candida_oregonensis@Seq_2282"
"MNXR101888"	"RAVEN_kegg"	"yHMPu5000034986_Candida_oregonensis@Seq_301 or yHMPu5000034986_Candida_oregonensis@Seq_3326 or yHMPu5000034986_Candida_oregonensis@Seq_3791"	NA	""	"yHMPu5000034986_Candida_oregonensis@Seq_301;yHMPu5000034986_Candida_oregonensis@Seq_3326;yHMPu5000034986_Candida_oregonensis@Seq_3791"
"MNXR101861"	"RAVEN_kegg"	"yHMPu5000034986_Candida_oregonensis@Seq_1417 or yHMPu5000034986_Candida_oregonensis@Seq_365"	NA	""	"yHMPu5000034986_Candida_oregonensis@Seq_1417;yHMPu5000034986_Candida_oregonensis@Seq_365"
