"rxnID"	"source"	"panID_RAVEN_kegg"	"panID_RAVEN_biocyc"	"panID_inter"	"panID_union"
"MNXR95786"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035037_Candida_montana@Seq_3935"	"yHMPu5000035037_Candida_montana@Seq_3935"	"yHMPu5000035037_Candida_montana@Seq_3935"	"yHMPu5000035037_Candida_montana@Seq_3935"
"MNXR106335"	"RAVEN_kegg"	"yHMPu5000035037_Candida_montana@Seq_5462 or yHMPu5000035037_Candida_montana@Seq_1007"	NA	""	"yHMPu5000035037_Candida_montana@Seq_5462;yHMPu5000035037_Candida_montana@Seq_1007"
"MNXR96455"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035037_Candida_montana@Seq_271"	"yHMPu5000035037_Candida_montana@Seq_271"	"yHMPu5000035037_Candida_montana@Seq_271"	"yHMPu5000035037_Candida_montana@Seq_271"
"MNXR95163"	"RAVEN_kegg"	"yHMPu5000035037_Candida_montana@Seq_983"	NA	""	"yHMPu5000035037_Candida_montana@Seq_983"
"MNXR102428"	"RAVEN_kegg"	"yHMPu5000035037_Candida_montana@Seq_747 or yHMPu5000035037_Candida_montana@Seq_2521 or yHMPu5000035037_Candida_montana@Seq_3603 or yHMPu5000035037_Candida_montana@Seq_5462 or yHMPu5000035037_Candida_montana@Seq_1007"	NA	""	"yHMPu5000035037_Candida_montana@Seq_747;yHMPu5000035037_Candida_montana@Seq_2521;yHMPu5000035037_Candida_montana@Seq_3603;yHMPu5000035037_Candida_montana@Seq_5462;yHMPu5000035037_Candida_montana@Seq_1007"
"MNXR100245"	"RAVEN_kegg"	"yHMPu5000035037_Candida_montana@Seq_4338"	NA	""	"yHMPu5000035037_Candida_montana@Seq_4338"
"MNXR106343"	"RAVEN_kegg"	"yHMPu5000035037_Candida_montana@Seq_4588 or yHMPu5000035037_Candida_montana@Seq_3013 or yHMPu5000035037_Candida_montana@Seq_4774 or yHMPu5000035037_Candida_montana@Seq_1545"	NA	""	"yHMPu5000035037_Candida_montana@Seq_4588;yHMPu5000035037_Candida_montana@Seq_3013;yHMPu5000035037_Candida_montana@Seq_4774;yHMPu5000035037_Candida_montana@Seq_1545"
"MNXR101350"	"RAVEN_kegg"	"yHMPu5000035037_Candida_montana@Seq_2211"	NA	""	"yHMPu5000035037_Candida_montana@Seq_2211"
"MNXR103095"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035037_Candida_montana@Seq_2866"	"yHMPu5000035037_Candida_montana@Seq_2866"	"yHMPu5000035037_Candida_montana@Seq_2866"	"yHMPu5000035037_Candida_montana@Seq_2866"
"MNXR103430"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035037_Candida_montana@Seq_4379"	"yHMPu5000035037_Candida_montana@Seq_4379"	"yHMPu5000035037_Candida_montana@Seq_4379"	"yHMPu5000035037_Candida_montana@Seq_4379"
"MNXR96043"	"RAVEN_kegg"	"yHMPu5000035037_Candida_montana@Seq_567 or yHMPu5000035037_Candida_montana@Seq_1655 or yHMPu5000035037_Candida_montana@Seq_4621"	NA	""	"yHMPu5000035037_Candida_montana@Seq_567;yHMPu5000035037_Candida_montana@Seq_1655;yHMPu5000035037_Candida_montana@Seq_4621"
"MNXR100658"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035037_Candida_montana@Seq_3549"	"yHMPu5000035037_Candida_montana@Seq_3549"	"yHMPu5000035037_Candida_montana@Seq_3549"	"yHMPu5000035037_Candida_montana@Seq_3549"
"MNXR96131"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035037_Candida_montana@Seq_5313 or yHMPu5000035037_Candida_montana@Seq_522 or yHMPu5000035037_Candida_montana@Seq_1315 or yHMPu5000035037_Candida_montana@Seq_2147 or yHMPu5000035037_Candida_montana@Seq_1177 or yHMPu5000035037_Candida_montana@Seq_4171"	"yHMPu5000035037_Candida_montana@Seq_4808"	""	"yHMPu5000035037_Candida_montana@Seq_5313;yHMPu5000035037_Candida_montana@Seq_522;yHMPu5000035037_Candida_montana@Seq_1315;yHMPu5000035037_Candida_montana@Seq_2147;yHMPu5000035037_Candida_montana@Seq_1177;yHMPu5000035037_Candida_montana@Seq_4171;yHMPu5000035037_Candida_montana@Seq_4808"
"MNXR102054"	"RAVEN_kegg"	"yHMPu5000035037_Candida_montana@Seq_28"	NA	""	"yHMPu5000035037_Candida_montana@Seq_28"
"MNXR95444"	"RAVEN_kegg"	"yHMPu5000035037_Candida_montana@Seq_2729"	NA	""	"yHMPu5000035037_Candida_montana@Seq_2729"
"MNXR100289"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035037_Candida_montana@Seq_4338"	"yHMPu5000035037_Candida_montana@Seq_4338"	"yHMPu5000035037_Candida_montana@Seq_4338"	"yHMPu5000035037_Candida_montana@Seq_4338"
"MNXR100097"	"RAVEN_kegg"	"yHMPu5000035037_Candida_montana@Seq_4763"	NA	""	"yHMPu5000035037_Candida_montana@Seq_4763"
"MNXR106388"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035037_Candida_montana@Seq_1107 or yHMPu5000035037_Candida_montana@Seq_3102"	"yHMPu5000035037_Candida_montana@Seq_1107 or yHMPu5000035037_Candida_montana@Seq_3102"	"yHMPu5000035037_Candida_montana@Seq_1107;yHMPu5000035037_Candida_montana@Seq_3102"	"yHMPu5000035037_Candida_montana@Seq_1107;yHMPu5000035037_Candida_montana@Seq_3102"
"MNXR101888"	"RAVEN_kegg"	"yHMPu5000035037_Candida_montana@Seq_3844 or yHMPu5000035037_Candida_montana@Seq_1274 or yHMPu5000035037_Candida_montana@Seq_3156 or yHMPu5000035037_Candida_montana@Seq_1814"	NA	""	"yHMPu5000035037_Candida_montana@Seq_3844;yHMPu5000035037_Candida_montana@Seq_1274;yHMPu5000035037_Candida_montana@Seq_3156;yHMPu5000035037_Candida_montana@Seq_1814"
"MNXR101861"	"RAVEN_kegg"	"yHMPu5000035037_Candida_montana@Seq_28 or yHMPu5000035037_Candida_montana@Seq_2776 or yHMPu5000035037_Candida_montana@Seq_2435"	NA	""	"yHMPu5000035037_Candida_montana@Seq_28;yHMPu5000035037_Candida_montana@Seq_2776;yHMPu5000035037_Candida_montana@Seq_2435"
"MNXR101882"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035037_Candida_montana@Seq_5119 or yHMPu5000035037_Candida_montana@Seq_6 or yHMPu5000035037_Candida_montana@Seq_3046"	"yHMPu5000035037_Candida_montana@Seq_6 or yHMPu5000035037_Candida_montana@Seq_3046 or yHMPu5000035037_Candida_montana@Seq_5119"	"yHMPu5000035037_Candida_montana@Seq_5119;yHMPu5000035037_Candida_montana@Seq_6;yHMPu5000035037_Candida_montana@Seq_3046"	"yHMPu5000035037_Candida_montana@Seq_5119;yHMPu5000035037_Candida_montana@Seq_6;yHMPu5000035037_Candida_montana@Seq_3046"
"MNXR106392"	"RAVEN_kegg"	"yHMPu5000035037_Candida_montana@Seq_2306 or yHMPu5000035037_Candida_montana@Seq_1263"	NA	""	"yHMPu5000035037_Candida_montana@Seq_2306;yHMPu5000035037_Candida_montana@Seq_1263"
"MNXR106395"	"RAVEN_kegg"	"yHMPu5000035037_Candida_montana@Seq_2306 or yHMPu5000035037_Candida_montana@Seq_1263"	NA	""	"yHMPu5000035037_Candida_montana@Seq_2306;yHMPu5000035037_Candida_montana@Seq_1263"
"MNXR100291"	"RAVEN_kegg"	"yHMPu5000035037_Candida_montana@Seq_4338"	NA	""	"yHMPu5000035037_Candida_montana@Seq_4338"
"MNXR100098"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035037_Candida_montana@Seq_4763"	"yHMPu5000035037_Candida_montana@Seq_4763"	"yHMPu5000035037_Candida_montana@Seq_4763"	"yHMPu5000035037_Candida_montana@Seq_4763"
"MNXR96129"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035037_Candida_montana@Seq_1315 or yHMPu5000035037_Candida_montana@Seq_2147"	"yHMPu5000035037_Candida_montana@Seq_1315"	"yHMPu5000035037_Candida_montana@Seq_1315"	"yHMPu5000035037_Candida_montana@Seq_1315;yHMPu5000035037_Candida_montana@Seq_2147"
"MNXR95435"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035037_Candida_montana@Seq_2231"	"yHMPu5000035037_Candida_montana@Seq_2231"	"yHMPu5000035037_Candida_montana@Seq_2231"	"yHMPu5000035037_Candida_montana@Seq_2231"
"MNXR95450"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035037_Candida_montana@Seq_3036 or yHMPu5000035037_Candida_montana@Seq_463"	"yHMPu5000035037_Candida_montana@Seq_3036 or yHMPu5000035037_Candida_montana@Seq_4401"	"yHMPu5000035037_Candida_montana@Seq_3036"	"yHMPu5000035037_Candida_montana@Seq_3036;yHMPu5000035037_Candida_montana@Seq_463;yHMPu5000035037_Candida_montana@Seq_4401"
"MNXR97762"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035037_Candida_montana@Seq_1184"	"yHMPu5000035037_Candida_montana@Seq_1184"	"yHMPu5000035037_Candida_montana@Seq_1184"	"yHMPu5000035037_Candida_montana@Seq_1184"
"MNXR95841"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035037_Candida_montana@Seq_4709 or yHMPu5000035037_Candida_montana@Seq_5636"	"yHMPu5000035037_Candida_montana@Seq_4709"	"yHMPu5000035037_Candida_montana@Seq_4709"	"yHMPu5000035037_Candida_montana@Seq_4709;yHMPu5000035037_Candida_montana@Seq_5636"
"MNXR106405"	"RAVEN_kegg"	"yHMPu5000035037_Candida_montana@Seq_5364"	NA	""	"yHMPu5000035037_Candida_montana@Seq_5364"
"MNXR96884"	"RAVEN_kegg"	"yHMPu5000035037_Candida_montana@Seq_5556 or yHMPu5000035037_Candida_montana@Seq_3575"	NA	""	"yHMPu5000035037_Candida_montana@Seq_5556;yHMPu5000035037_Candida_montana@Seq_3575"
"MNXR101931"	"RAVEN_kegg"	"yHMPu5000035037_Candida_montana@Seq_1315 or yHMPu5000035037_Candida_montana@Seq_2147"	NA	""	"yHMPu5000035037_Candida_montana@Seq_1315;yHMPu5000035037_Candida_montana@Seq_2147"
"MNXR101935"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035037_Candida_montana@Seq_5364"	"yHMPu5000035037_Candida_montana@Seq_4401 or yHMPu5000035037_Candida_montana@Seq_5364"	"yHMPu5000035037_Candida_montana@Seq_5364"	"yHMPu5000035037_Candida_montana@Seq_5364;yHMPu5000035037_Candida_montana@Seq_4401"
"MNXR106413"	"RAVEN_kegg"	"yHMPu5000035037_Candida_montana@Seq_3036 or yHMPu5000035037_Candida_montana@Seq_4401"	NA	""	"yHMPu5000035037_Candida_montana@Seq_3036;yHMPu5000035037_Candida_montana@Seq_4401"
"MNXR105118"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035037_Candida_montana@Seq_955"	"yHMPu5000035037_Candida_montana@Seq_955"	"yHMPu5000035037_Candida_montana@Seq_955"	"yHMPu5000035037_Candida_montana@Seq_955"
"MNXR101933"	"RAVEN_kegg"	"yHMPu5000035037_Candida_montana@Seq_1315 or yHMPu5000035037_Candida_montana@Seq_2147"	NA	""	"yHMPu5000035037_Candida_montana@Seq_1315;yHMPu5000035037_Candida_montana@Seq_2147"
"MNXR99209"	"RAVEN_kegg"	"yHMPu5000035037_Candida_montana@Seq_28"	NA	""	"yHMPu5000035037_Candida_montana@Seq_28"
"MNXR103361"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035037_Candida_montana@Seq_4226"	"yHMPu5000035037_Candida_montana@Seq_4226"	"yHMPu5000035037_Candida_montana@Seq_4226"	"yHMPu5000035037_Candida_montana@Seq_4226"
"MNXR101407"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035037_Candida_montana@Seq_55"	"yHMPu5000035037_Candida_montana@Seq_55"	"yHMPu5000035037_Candida_montana@Seq_55"	"yHMPu5000035037_Candida_montana@Seq_55"
"MNXR95455"	"RAVEN_kegg"	"yHMPu5000035037_Candida_montana@Seq_429"	NA	""	"yHMPu5000035037_Candida_montana@Seq_429"
"MNXR95824"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035037_Candida_montana@Seq_3677 or yHMPu5000035037_Candida_montana@Seq_3197"	"yHMPu5000035037_Candida_montana@Seq_3677"	"yHMPu5000035037_Candida_montana@Seq_3677"	"yHMPu5000035037_Candida_montana@Seq_3677;yHMPu5000035037_Candida_montana@Seq_3197"
"MNXR102037"	"RAVEN_kegg"	"yHMPu5000035037_Candida_montana@Seq_739"	NA	""	"yHMPu5000035037_Candida_montana@Seq_739"
"MNXR95456"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035037_Candida_montana@Seq_5417"	"yHMPu5000035037_Candida_montana@Seq_5417"	"yHMPu5000035037_Candida_montana@Seq_5417"	"yHMPu5000035037_Candida_montana@Seq_5417"
"MNXR96340"	"RAVEN_kegg"	"yHMPu5000035037_Candida_montana@Seq_28"	NA	""	"yHMPu5000035037_Candida_montana@Seq_28"
"MNXR96321"	"RAVEN_kegg"	"yHMPu5000035037_Candida_montana@Seq_1577"	NA	""	"yHMPu5000035037_Candida_montana@Seq_1577"
"MNXR95482"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035037_Candida_montana@Seq_630"	"yHMPu5000035037_Candida_montana@Seq_630"	"yHMPu5000035037_Candida_montana@Seq_630"	"yHMPu5000035037_Candida_montana@Seq_630"
"MNXR95886"	"RAVEN_kegg"	"yHMPu5000035037_Candida_montana@Seq_261"	NA	""	"yHMPu5000035037_Candida_montana@Seq_261"
