"rxnID"	"source"	"panID_RAVEN_kegg"	"panID_RAVEN_biocyc"	"panID_inter"	"panID_union"
"MNXR95786"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_1876"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_1876"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_1876"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_1876"
"MNXR106335"	"RAVEN_kegg"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_506 or yHMPu5000035640_Yamadazyma_philogaea@Seq_954"	NA	""	"yHMPu5000035640_Yamadazyma_philogaea@Seq_506;yHMPu5000035640_Yamadazyma_philogaea@Seq_954"
"MNXR96455"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_2213 or yHMPu5000035640_Yamadazyma_philogaea@Seq_4532"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_2213 or yHMPu5000035640_Yamadazyma_philogaea@Seq_4532"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_2213;yHMPu5000035640_Yamadazyma_philogaea@Seq_4532"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_2213;yHMPu5000035640_Yamadazyma_philogaea@Seq_4532"
"MNXR95163"	"RAVEN_kegg"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_1687"	NA	""	"yHMPu5000035640_Yamadazyma_philogaea@Seq_1687"
"MNXR102428"	"RAVEN_kegg"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_2150 or yHMPu5000035640_Yamadazyma_philogaea@Seq_4579 or yHMPu5000035640_Yamadazyma_philogaea@Seq_3371 or yHMPu5000035640_Yamadazyma_philogaea@Seq_927 or yHMPu5000035640_Yamadazyma_philogaea@Seq_506 or yHMPu5000035640_Yamadazyma_philogaea@Seq_954"	NA	""	"yHMPu5000035640_Yamadazyma_philogaea@Seq_2150;yHMPu5000035640_Yamadazyma_philogaea@Seq_4579;yHMPu5000035640_Yamadazyma_philogaea@Seq_3371;yHMPu5000035640_Yamadazyma_philogaea@Seq_927;yHMPu5000035640_Yamadazyma_philogaea@Seq_506;yHMPu5000035640_Yamadazyma_philogaea@Seq_954"
"MNXR100245"	"RAVEN_kegg"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_1920"	NA	""	"yHMPu5000035640_Yamadazyma_philogaea@Seq_1920"
"MNXR95628"	"RAVEN_kegg"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_4119"	NA	""	"yHMPu5000035640_Yamadazyma_philogaea@Seq_4119"
"MNXR106342"	"RAVEN_kegg"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_2749"	NA	""	"yHMPu5000035640_Yamadazyma_philogaea@Seq_2749"
"MNXR106343"	"RAVEN_kegg"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_45 or yHMPu5000035640_Yamadazyma_philogaea@Seq_2941 or yHMPu5000035640_Yamadazyma_philogaea@Seq_1061 or yHMPu5000035640_Yamadazyma_philogaea@Seq_2569"	NA	""	"yHMPu5000035640_Yamadazyma_philogaea@Seq_45;yHMPu5000035640_Yamadazyma_philogaea@Seq_2941;yHMPu5000035640_Yamadazyma_philogaea@Seq_1061;yHMPu5000035640_Yamadazyma_philogaea@Seq_2569"
"MNXR101350"	"RAVEN_kegg"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_3000 or yHMPu5000035640_Yamadazyma_philogaea@Seq_242"	NA	""	"yHMPu5000035640_Yamadazyma_philogaea@Seq_3000;yHMPu5000035640_Yamadazyma_philogaea@Seq_242"
"MNXR103095"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_879"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_879"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_879"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_879"
"MNXR103430"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_3150"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_3150"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_3150"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_3150"
"MNXR96043"	"RAVEN_kegg"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_221 or yHMPu5000035640_Yamadazyma_philogaea@Seq_460 or yHMPu5000035640_Yamadazyma_philogaea@Seq_2679"	NA	""	"yHMPu5000035640_Yamadazyma_philogaea@Seq_221;yHMPu5000035640_Yamadazyma_philogaea@Seq_460;yHMPu5000035640_Yamadazyma_philogaea@Seq_2679"
"MNXR100658"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_2297"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_2297"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_2297"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_2297"
"MNXR96131"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_3078 or yHMPu5000035640_Yamadazyma_philogaea@Seq_4818 or yHMPu5000035640_Yamadazyma_philogaea@Seq_561 or yHMPu5000035640_Yamadazyma_philogaea@Seq_4430 or yHMPu5000035640_Yamadazyma_philogaea@Seq_562"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_4148"	""	"yHMPu5000035640_Yamadazyma_philogaea@Seq_3078;yHMPu5000035640_Yamadazyma_philogaea@Seq_4818;yHMPu5000035640_Yamadazyma_philogaea@Seq_561;yHMPu5000035640_Yamadazyma_philogaea@Seq_4430;yHMPu5000035640_Yamadazyma_philogaea@Seq_562;yHMPu5000035640_Yamadazyma_philogaea@Seq_4148"
"MNXR95444"	"RAVEN_kegg"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_4562"	NA	""	"yHMPu5000035640_Yamadazyma_philogaea@Seq_4562"
"MNXR100289"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_1920"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_1920"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_1920"	"yHMPu5000035640_Yamadazyma_philogaea@Seq_1920"
