"rxnID"	"source"	"panID_RAVEN_kegg"	"panID_RAVEN_biocyc"	"panID_inter"	"panID_union"
"MNXR95786"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_4072"	"yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_4072"	"yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_4072"	"yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_4072"
"MNXR106335"	"RAVEN_kegg"	"yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_5758 or yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_6130 or yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_1926 or yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_1669"	NA	""	"yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_5758;yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_6130;yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_1926;yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_1669"
"MNXR96455"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_8538 or yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_3580"	"yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_3580 or yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_8538"	"yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_8538;yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_3580"	"yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_8538;yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_3580"
"MNXR95163"	"RAVEN_kegg"	"yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_6926"	NA	""	"yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_6926"
"MNXR102428"	"RAVEN_kegg"	"yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_2765 or yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_1761 or yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_5989 or yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_2701 or yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_7137 or yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_5758 or yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_6130 or yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_1926 or yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_1669"	NA	""	"yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_2765;yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_1761;yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_5989;yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_2701;yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_7137;yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_5758;yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_6130;yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_1926;yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_1669"
"MNXR100245"	"RAVEN_kegg"	"yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_4442 or yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_7096"	NA	""	"yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_4442;yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_7096"
"MNXR95628"	"RAVEN_kegg"	"yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_5516 or yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_6793"	NA	""	"yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_5516;yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_6793"
"MNXR106343"	"RAVEN_kegg"	"yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_8300"	NA	""	"yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_8300"
"MNXR101350"	"RAVEN_kegg"	"yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_6647"	NA	""	"yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_6647"
"MNXR103095"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_8177"	"yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_8177"	"yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_8177"	"yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_8177"
