"rxnID"	"source"	"panID_RAVEN_kegg"	"panID_RAVEN_biocyc"	"panID_inter"	"panID_union"
"MNXR95786"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000041862_Candida_golubevii@Seq_3571"	"yHMPu5000041862_Candida_golubevii@Seq_3571"	"yHMPu5000041862_Candida_golubevii@Seq_3571"	"yHMPu5000041862_Candida_golubevii@Seq_3571"
"MNXR106335"	"RAVEN_kegg"	"yHMPu5000041862_Candida_golubevii@Seq_5121 or yHMPu5000041862_Candida_golubevii@Seq_5590"	NA	""	"yHMPu5000041862_Candida_golubevii@Seq_5121;yHMPu5000041862_Candida_golubevii@Seq_5590"
"MNXR96455"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000041862_Candida_golubevii@Seq_3422"	"yHMPu5000041862_Candida_golubevii@Seq_3422"	"yHMPu5000041862_Candida_golubevii@Seq_3422"	"yHMPu5000041862_Candida_golubevii@Seq_3422"
"MNXR102428"	"RAVEN_kegg"	"yHMPu5000041862_Candida_golubevii@Seq_3406 or yHMPu5000041862_Candida_golubevii@Seq_3848 or yHMPu5000041862_Candida_golubevii@Seq_738 or yHMPu5000041862_Candida_golubevii@Seq_3496 or yHMPu5000041862_Candida_golubevii@Seq_5121 or yHMPu5000041862_Candida_golubevii@Seq_5590"	NA	""	"yHMPu5000041862_Candida_golubevii@Seq_3406;yHMPu5000041862_Candida_golubevii@Seq_3848;yHMPu5000041862_Candida_golubevii@Seq_738;yHMPu5000041862_Candida_golubevii@Seq_3496;yHMPu5000041862_Candida_golubevii@Seq_5121;yHMPu5000041862_Candida_golubevii@Seq_5590"
"MNXR100245"	"RAVEN_kegg"	"yHMPu5000041862_Candida_golubevii@Seq_2987"	NA	""	"yHMPu5000041862_Candida_golubevii@Seq_2987"
"MNXR95628"	"RAVEN_kegg"	"yHMPu5000041862_Candida_golubevii@Seq_3482"	NA	""	"yHMPu5000041862_Candida_golubevii@Seq_3482"
"MNXR106342"	"RAVEN_kegg"	"yHMPu5000041862_Candida_golubevii@Seq_2595"	NA	""	"yHMPu5000041862_Candida_golubevii@Seq_2595"
"MNXR106343"	"RAVEN_kegg"	"yHMPu5000041862_Candida_golubevii@Seq_3017 or yHMPu5000041862_Candida_golubevii@Seq_1431 or yHMPu5000041862_Candida_golubevii@Seq_5043"	NA	""	"yHMPu5000041862_Candida_golubevii@Seq_3017;yHMPu5000041862_Candida_golubevii@Seq_1431;yHMPu5000041862_Candida_golubevii@Seq_5043"
"MNXR101350"	"RAVEN_kegg"	"yHMPu5000041862_Candida_golubevii@Seq_4027"	NA	""	"yHMPu5000041862_Candida_golubevii@Seq_4027"
"MNXR103095"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000041862_Candida_golubevii@Seq_2184"	"yHMPu5000041862_Candida_golubevii@Seq_2184"	"yHMPu5000041862_Candida_golubevii@Seq_2184"	"yHMPu5000041862_Candida_golubevii@Seq_2184"
"MNXR103430"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000041862_Candida_golubevii@Seq_614"	"yHMPu5000041862_Candida_golubevii@Seq_614"	"yHMPu5000041862_Candida_golubevii@Seq_614"	"yHMPu5000041862_Candida_golubevii@Seq_614"
"MNXR96043"	"RAVEN_kegg"	"yHMPu5000041862_Candida_golubevii@Seq_4774 or yHMPu5000041862_Candida_golubevii@Seq_495 or yHMPu5000041862_Candida_golubevii@Seq_3500"	NA	""	"yHMPu5000041862_Candida_golubevii@Seq_4774;yHMPu5000041862_Candida_golubevii@Seq_495;yHMPu5000041862_Candida_golubevii@Seq_3500"
"MNXR100658"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000041862_Candida_golubevii@Seq_4651"	"yHMPu5000041862_Candida_golubevii@Seq_4651"	"yHMPu5000041862_Candida_golubevii@Seq_4651"	"yHMPu5000041862_Candida_golubevii@Seq_4651"
"MNXR96131"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000041862_Candida_golubevii@Seq_505 or yHMPu5000041862_Candida_golubevii@Seq_16 or yHMPu5000041862_Candida_golubevii@Seq_1761 or yHMPu5000041862_Candida_golubevii@Seq_881 or yHMPu5000041862_Candida_golubevii@Seq_5337"	"yHMPu5000041862_Candida_golubevii@Seq_2994 or yHMPu5000041862_Candida_golubevii@Seq_4493"	""	"yHMPu5000041862_Candida_golubevii@Seq_505;yHMPu5000041862_Candida_golubevii@Seq_16;yHMPu5000041862_Candida_golubevii@Seq_1761;yHMPu5000041862_Candida_golubevii@Seq_881;yHMPu5000041862_Candida_golubevii@Seq_5337;yHMPu5000041862_Candida_golubevii@Seq_2994;yHMPu5000041862_Candida_golubevii@Seq_4493"
"MNXR102054"	"RAVEN_kegg"	"yHMPu5000041862_Candida_golubevii@Seq_839"	NA	""	"yHMPu5000041862_Candida_golubevii@Seq_839"
"MNXR95444"	"RAVEN_kegg"	"yHMPu5000041862_Candida_golubevii@Seq_2600"	NA	""	"yHMPu5000041862_Candida_golubevii@Seq_2600"
"MNXR100289"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000041862_Candida_golubevii@Seq_2987"	"yHMPu5000041862_Candida_golubevii@Seq_2987"	"yHMPu5000041862_Candida_golubevii@Seq_2987"	"yHMPu5000041862_Candida_golubevii@Seq_2987"
"MNXR100097"	"RAVEN_kegg"	"yHMPu5000041862_Candida_golubevii@Seq_4819"	NA	""	"yHMPu5000041862_Candida_golubevii@Seq_4819"
"MNXR106388"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000041862_Candida_golubevii@Seq_584 or yHMPu5000041862_Candida_golubevii@Seq_4553 or yHMPu5000041862_Candida_golubevii@Seq_1772"	"yHMPu5000041862_Candida_golubevii@Seq_584 or yHMPu5000041862_Candida_golubevii@Seq_1772 or yHMPu5000041862_Candida_golubevii@Seq_4553"	"yHMPu5000041862_Candida_golubevii@Seq_584;yHMPu5000041862_Candida_golubevii@Seq_4553;yHMPu5000041862_Candida_golubevii@Seq_1772"	"yHMPu5000041862_Candida_golubevii@Seq_584;yHMPu5000041862_Candida_golubevii@Seq_4553;yHMPu5000041862_Candida_golubevii@Seq_1772"
"MNXR101888"	"RAVEN_kegg"	"yHMPu5000041862_Candida_golubevii@Seq_4397 or yHMPu5000041862_Candida_golubevii@Seq_4155 or yHMPu5000041862_Candida_golubevii@Seq_5114"	NA	""	"yHMPu5000041862_Candida_golubevii@Seq_4397;yHMPu5000041862_Candida_golubevii@Seq_4155;yHMPu5000041862_Candida_golubevii@Seq_5114"
"MNXR101861"	"RAVEN_kegg"	"yHMPu5000041862_Candida_golubevii@Seq_839 or yHMPu5000041862_Candida_golubevii@Seq_4188"	NA	""	"yHMPu5000041862_Candida_golubevii@Seq_839;yHMPu5000041862_Candida_golubevii@Seq_4188"
"MNXR101882"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000041862_Candida_golubevii@Seq_4220 or yHMPu5000041862_Candida_golubevii@Seq_1141"	"yHMPu5000041862_Candida_golubevii@Seq_1141 or yHMPu5000041862_Candida_golubevii@Seq_4220"	"yHMPu5000041862_Candida_golubevii@Seq_4220;yHMPu5000041862_Candida_golubevii@Seq_1141"	"yHMPu5000041862_Candida_golubevii@Seq_4220;yHMPu5000041862_Candida_golubevii@Seq_1141"
"MNXR106392"	"RAVEN_kegg"	"yHMPu5000041862_Candida_golubevii@Seq_3647 or yHMPu5000041862_Candida_golubevii@Seq_4170"	NA	""	"yHMPu5000041862_Candida_golubevii@Seq_3647;yHMPu5000041862_Candida_golubevii@Seq_4170"
"MNXR106395"	"RAVEN_kegg"	"yHMPu5000041862_Candida_golubevii@Seq_3647 or yHMPu5000041862_Candida_golubevii@Seq_4170"	NA	""	"yHMPu5000041862_Candida_golubevii@Seq_3647;yHMPu5000041862_Candida_golubevii@Seq_4170"
"MNXR100291"	"RAVEN_kegg"	"yHMPu5000041862_Candida_golubevii@Seq_2987"	NA	""	"yHMPu5000041862_Candida_golubevii@Seq_2987"
"MNXR100098"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000041862_Candida_golubevii@Seq_4819"	"yHMPu5000041862_Candida_golubevii@Seq_4819"	"yHMPu5000041862_Candida_golubevii@Seq_4819"	"yHMPu5000041862_Candida_golubevii@Seq_4819"
"MNXR96129"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000041862_Candida_golubevii@Seq_505 or yHMPu5000041862_Candida_golubevii@Seq_16 or yHMPu5000041862_Candida_golubevii@Seq_1761"	"yHMPu5000041862_Candida_golubevii@Seq_505"	"yHMPu5000041862_Candida_golubevii@Seq_505"	"yHMPu5000041862_Candida_golubevii@Seq_505;yHMPu5000041862_Candida_golubevii@Seq_16;yHMPu5000041862_Candida_golubevii@Seq_1761"
"MNXR95435"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000041862_Candida_golubevii@Seq_2303"	"yHMPu5000041862_Candida_golubevii@Seq_2303"	"yHMPu5000041862_Candida_golubevii@Seq_2303"	"yHMPu5000041862_Candida_golubevii@Seq_2303"
"MNXR95450"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000041862_Candida_golubevii@Seq_2461 or yHMPu5000041862_Candida_golubevii@Seq_3690"	"yHMPu5000041862_Candida_golubevii@Seq_1048 or yHMPu5000041862_Candida_golubevii@Seq_2461"	"yHMPu5000041862_Candida_golubevii@Seq_2461"	"yHMPu5000041862_Candida_golubevii@Seq_2461;yHMPu5000041862_Candida_golubevii@Seq_3690;yHMPu5000041862_Candida_golubevii@Seq_1048"
"MNXR97762"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000041862_Candida_golubevii@Seq_4563"	"yHMPu5000041862_Candida_golubevii@Seq_4563"	"yHMPu5000041862_Candida_golubevii@Seq_4563"	"yHMPu5000041862_Candida_golubevii@Seq_4563"
"MNXR95841"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000041862_Candida_golubevii@Seq_4693 or yHMPu5000041862_Candida_golubevii@Seq_1713"	"yHMPu5000041862_Candida_golubevii@Seq_4693"	"yHMPu5000041862_Candida_golubevii@Seq_4693"	"yHMPu5000041862_Candida_golubevii@Seq_4693;yHMPu5000041862_Candida_golubevii@Seq_1713"
"MNXR106405"	"RAVEN_kegg"	"yHMPu5000041862_Candida_golubevii@Seq_2178"	NA	""	"yHMPu5000041862_Candida_golubevii@Seq_2178"
