complex type	sequence id	index	ortholog
1,3-beta-D-glucan synthase complex	Schizosaccharomyces_pombe@Seq_30	121_29	OG1014
1,3-beta-D-glucan synthase complex	Schizosaccharomyces_pombe@Seq_423	121_422	OG6918
1,3-beta-D-glucan synthase complex	Schizosaccharomyces_pombe@Seq_4265	121_4264	OG1014
1,3-beta-D-glucan synthase complex	Schizosaccharomyces_pombe@Seq_4566	121_4565	OG1014
1,3-beta-D-glucan synthase complex	Schizosaccharomyces_pombe@Seq_840	121_839	OG1014
6-phosphofructokinase complex	Schizosaccharomyces_pombe@Seq_3470	121_3469	OG1054
AP-1 adaptor complex	Schizosaccharomyces_pombe@Seq_3001	121_3000	OG3779
AP-1 adaptor complex	Schizosaccharomyces_pombe@Seq_3679	121_3678	OG2042
AP-1 adaptor complex	Schizosaccharomyces_pombe@Seq_453	121_452	OG2264
AP-1 adaptor complex	Schizosaccharomyces_pombe@Seq_611	121_610	OG1993
AP-2 adaptor complex	Schizosaccharomyces_pombe@Seq_2745	121_2744	OG3409
AP-2 adaptor complex	Schizosaccharomyces_pombe@Seq_4081	121_4080	OG3391
AP-2 adaptor complex	Schizosaccharomyces_pombe@Seq_418	121_417	OG4188
AP-2 adaptor complex	Schizosaccharomyces_pombe@Seq_986	121_985	OG3784
AP-3 adaptor complex	Schizosaccharomyces_pombe@Seq_121	121_120	OG1994
AP-3 adaptor complex	Schizosaccharomyces_pombe@Seq_164	121_163	OG2702
AP-3 adaptor complex	Schizosaccharomyces_pombe@Seq_220	121_219	OG3384
AP-3 adaptor complex	Schizosaccharomyces_pombe@Seq_4648	121_4647	OG2669
ARC complex	Schizosaccharomyces_pombe@Seq_1361	121_1360	OG5546
ARC complex	Schizosaccharomyces_pombe@Seq_2037	121_2036	OG13802
ARC complex	Schizosaccharomyces_pombe@Seq_960	121_959	OG13086
ASTRA complex	Schizosaccharomyces_pombe@Seq_1370	121_1369	OG2118
ASTRA complex	Schizosaccharomyces_pombe@Seq_2354	121_2353	OG170497
ASTRA complex	Schizosaccharomyces_pombe@Seq_2679	121_2678	OG1721
ASTRA complex	Schizosaccharomyces_pombe@Seq_3183	121_3182	OG2932
ASTRA complex	Schizosaccharomyces_pombe@Seq_3427	121_3426	OG1427
ASTRA complex	Schizosaccharomyces_pombe@Seq_3995	121_3994	OG2955
ASTRA complex	Schizosaccharomyces_pombe@Seq_985	121_984	OG2745
ATR-ATRIP complex	Schizosaccharomyces_pombe@Seq_4369	121_4368	OG162343
ATR-ATRIP complex	Schizosaccharomyces_pombe@Seq_801	121_800	OG1616
Arp2/3 protein complex	Schizosaccharomyces_pombe@Seq_2385	121_2384	OG2590
Arp2/3 protein complex	Schizosaccharomyces_pombe@Seq_2416	121_2415	OG3502
Arp2/3 protein complex	Schizosaccharomyces_pombe@Seq_4518	121_4517	OG2586
Arp2/3 protein complex	Schizosaccharomyces_pombe@Seq_4984	121_4983	OG2127
Arp2/3 protein complex	Schizosaccharomyces_pombe@Seq_723	121_722	OG2181
Arp2/3 protein complex	Schizosaccharomyces_pombe@Seq_737	121_736	OG3427
Arp2/3 protein complex	Schizosaccharomyces_pombe@Seq_773	121_772	OG1035
Atg1/ULK1 kinase complex	Schizosaccharomyces_pombe@Seq_2047	121_2046	OG4810
