enzyme	Kcat	ECC	rxnNames	enzGenes	enzNames	enz_panIDs
A0A3F2Y9V2	64.5004824636088	0.134785051800977	fructose-bisphosphate aldolase (No1)	A0A3F2Y9V2_DEKBR	A0A3F2Y9V2_DEKBR	YKL060C
A0A3F2XYL4	1.45	0.134693679976167	hydroxymethylglutaryl CoA reductase (No1)	A0A3F2XYL4_DEKBR	A0A3F2XYL4_DEKBR	YML075C
A0A3F2XZP1	5.29999003601873	0.124462357733163	citrate hydroxymutase (No2)	A0A3F2XZP1_DEKBR	A0A3F2XZP1_DEKBR	YJL200C
A0A3F2Y3K8	0.870013084996798	0.106381527866414	chorismate synthase (No1)	A0A3F2Y3K8_DEKBR	A0A3F2Y3K8_DEKBR	YGL148W
A0A3F2Y005	356.999547324574	0.0751404109081392	phosphofructokinase (No1)	A0A3F2Y005_DEKBR	A0A3F2Y005_DEKBR	YGR240C
A0A3F2Y353	0.789994248841868	0.0663360921826252	adenosylhomocysteinase (No1)	A0A3F2Y353_DEKBR	A0A3F2Y353_DEKBR	YER043C
A0A3F2Y7B1	441.997546029624	0.0519065706579578	glyceraldehyde-3-phosphate dehydrogenase (No1)	A0A3F2Y7B1_DEKBR	A0A3F2Y7B1_DEKBR	YJR009C
A0A3F2Y083	2.50002500025	0.0376100333916201	2-methylcitrate dehydratase (No1)	A0A3F2Y083_DEKBR	A0A3F2Y083_DEKBR	YDR234W
A0A3F2Y083	2.50002500025	0.0376100333916201	homoacontinate hydratase (No2)	A0A3F2Y083_DEKBR	A0A3F2Y083_DEKBR	YDR234W
A0A3F2Y1Y6	7.29995211231414	0.0175958104110456	alpha,alpha-trehalose-phosphate synthase (UDP-forming) (No1)	A0A3F2Y1Y6_DEKBR	A0A3F2Y1Y6_DEKBR	YML100W
A0A3F2Y1Y6	7.29995211231414	0.0175958104110456	trehalose-phosphatase (No1)	A0A3F2Y1Y6_DEKBR	A0A3F2Y1Y6_DEKBR	YML100W
A0A3F2Y173	7.29995211231414	0.014305072266814	alpha,alpha-trehalose-phosphate synthase (UDP-forming) (No1)	A0A3F2Y173_DEKBR	A0A3F2Y173_DEKBR	YDR074W
A0A3F2Y173	7.29995211231414	0.014305072266814	trehalose-phosphatase (No1)	A0A3F2Y173_DEKBR	A0A3F2Y173_DEKBR	YDR074W
A0A3F2Y5R6	5.5000055000055	0.0125000274899112	adenylosuccinate synthase (No1)	A0A3F2Y5R6_DEKBR	A0A3F2Y5R6_DEKBR	YNL220W
A0A3F2Y712	7.5000075000075	0.0124873025562749	methionine adenosyltransferase (No1)	A0A3F2Y712_DEKBR	A0A3F2Y712_DEKBR	YDR502C
A0A3F2Y705	5.89999740400114	0.0121457188974585	mevalonate pyrophoshate decarboxylase (No1)	A0A3F2Y705_DEKBR	A0A3F2Y705_DEKBR	YNR043W
A0A3F2XYW0	1491.98505627768	0.0120441559432631	hexokinase (D-glucose:ATP) (No2)	A0A3F2XYW0_DEKBR	A0A3F2XYW0_DEKBR	YDR516C
A0A3F2XYW0	1491.98505627768	0.0120441559401197	ATP:D-glucose 6-phosphotransferase (No1)	A0A3F2XYW0_DEKBR	A0A3F2XYW0_DEKBR	YDR516C
A0A3F2Y7R7	2632.96471827277	0.0108626345101749	phosphoglycerate kinase (No1)	A0A3F2Y7R7_DEKBR	A0A3F2Y7R7_DEKBR	YCR012W
A0A3F2Y7F9	800.005120032768	0.0107465185789035	triose-phosphate isomerase (No1)	A0A3F2Y7F9_DEKBR	A0A3F2Y7F9_DEKBR	YDR050C
A0A3F2Y6V8	7.29995211231414	0.0077891272567928	alpha,alpha-trehalose-phosphate synthase (UDP-forming) (No1)	A0A3F2Y6V8_DEKBR	A0A3F2Y6V8_DEKBR	YBR126C
A0A3F2Y6V8	7.29995211231414	0.0077891272567928	trehalose-phosphatase (No1)	A0A3F2Y6V8_DEKBR	A0A3F2Y6V8_DEKBR	YBR126C
A0A3F2Y746	2765.05850863804	0.0073171277587255	glucose-6-phosphate isomerase (No1)	A0A3F2Y746_DEKBR	A0A3F2Y746_DEKBR	YBR196C
A0A3F2Y7Q2	3.40001441606112	0.0062494686818466	cytochrome P450 lanosterol 14-alpha-demethylase (NADP) (No1)	A0A3F2Y7Q2_DEKBR	A0A3F2Y7Q2_DEKBR	YHR042W
A0A3F2Y878	60.4995813428971	0.00606821554741994	acetolactate synthase (No2)	A0A3F2Y878_DEKBR	A0A3F2Y878_DEKBR	YMR108W
A0A3F2Y5F6	52.7002557016407	0.00595885667795761	glutamine synthetase (No1)	A0A3F2Y5F6_DEKBR	A0A3F2Y5F6_DEKBR	YPR035W
A0A3F2Y6B9	18.8005264147396	0.00549968111736327	saccharopine dehydrogenase (NAD, L-lysine forming) (No1)	A0A3F2Y6B9_DEKBR	A0A3F2Y6B9_DEKBR	YIR034C
A0A3F2Y364	3199.98361608389	0.00519149763370609	phosphoglycerate mutase (No1)	A0A3F2Y364_DEKBR	A0A3F2Y364_DEKBR	YOR283W
A0A3F2Y1L7	3.40001441606112	0.00494085862708732	cytochrome P450 lanosterol 14-alpha-demethylase (NADP) (No1)	A0A3F2Y1L7_DEKBR	A0A3F2Y1L7_DEKBR	YHR007C
